Fold,Method,k,Selection_rank,Gene,logFC,FDR,Stat_score,Rank_stat,Degree,Normalized_degree,Rank_topo,Borda_score,Rank_NIBFS,mRMR_score,Relevance,Redundancy,Coefficient,Abs_Coefficient,Rank_LASSO
1,NIBFS,20,1,CDK1,2.588149387410631,4.59727250801511e-106,272.6291854551235,35.0,276.0,0.0173595823636706,34.5,34372.5,1.0,,,,,,
1,NIBFS,20,2,EGFR,-2.49334794568639,4.74107650187148e-83,205.2626830543922,92.0,460.0,0.0289326372727844,3.0,34347.0,2.0,,,,,,
1,NIBFS,20,3,CCNB1,2.357209601858483,5.1120561984643024e-101,236.40786138955272,64.0,199.0,0.0125165104723567,134.0,34244.0,3.0,,,,,,
1,NIBFS,20,4,BUB1B,2.1293348699885337,2.052733917861173e-97,205.88042156845648,88.0,181.0,0.0113843637964651,184.0,34170.0,4.0,,,,,,
1,NIBFS,20,5,FN1,1.8583963798289915,9.967273357471131e-67,122.65680673909732,257.0,285.0,0.0179256557016164,29.0,34156.0,5.0,,,,,,
1,NIBFS,20,6,CDC20,2.0463123372093484,3.3233468882219995e-72,146.26718154064184,196.0,203.0,0.0127680986225548,120.0,34126.0,6.0,,,,,,
1,NIBFS,20,7,STAT1,1.8606236460397905,1.2435453481857552e-60,111.46128910035742,292.0,242.0,0.0152210830869866,62.0,34088.0,7.0,,,,,,
1,NIBFS,20,8,EZH2,1.7999129476060989,4.006843382748525e-84,150.10769581315273,186.0,181.0,0.0113843637964651,184.0,34072.0,8.0,,,,,,
1,NIBFS,20,9,TOP2A,3.171263973875792,2.862162566707837e-106,334.7056830583361,16.0,135.0,0.0084911000691867,381.5,34044.5,9.0,,,,,,
1,NIBFS,20,10,CAV1,-2.3685762282245038,1.4913124003860838e-101,238.81508852189825,62.0,142.0,0.0089313793320334,339.0,34041.0,10.0,,,,,,
1,NIBFS,20,11,GNAI1,-1.985934921560604,4.402880706694067e-72,141.7088947252573,207.0,174.0,0.0109440845336184,207.0,34028.0,11.0,,,,,,
1,NIBFS,20,12,RRM2,3.485761873718141,3.312787961683357e-119,412.992391817575,7.0,129.0,0.0081137178438895,425.5,34009.5,12.0,,,,,,
1,NIBFS,20,13,PPARG,-2.0963792235834897,1.030928708029834e-69,144.62243419485728,201.0,162.0,0.010189320083024,254.5,33986.5,13.0,,,,,,
1,NIBFS,20,14,KIT,-2.3606733300005085,1.349573645242145e-59,138.97237485549982,213.0,161.0,0.0101264230454745,258.5,33970.5,14.0,,,,,,
1,NIBFS,20,15,UBE2C,2.172887419785661,2.3257832334977653e-103,223.01089055788893,74.0,127.0,0.0079879237687904,441.5,33926.5,15.0,,,,,,
1,NIBFS,20,16,CCNA2,1.5018115769941225,2.428033944454272e-57,85.0246798390472,425.0,208.0,0.0130825838103025,112.0,33905.0,16.0,,,,,,
1,NIBFS,20,17,CCNB2,1.8140244014538376,1.8482223920200404e-79,142.82402903678295,205.0,140.0,0.0088055852569343,346.0,33891.0,17.0,,,,,,
1,NIBFS,20,18,MAD2L1,1.9556811644940384,6.502793219279168e-71,137.26319843334556,221.0,143.0,0.0089942763695829,331.0,33890.0,18.0,,,,,,
1,NIBFS,20,19,FGF2,-1.948586233402368,1.723569559356094e-83,161.27195543784532,164.0,134.0,0.0084282030316372,389.5,33888.5,19.0,,,,,,
1,NIBFS,20,20,JUN,-1.381096095607122,2.001676392208708e-53,72.78183917404384,518.0,243.0,0.0152839801245361,59.0,33865.0,20.0,,,,,,
1,DEG-only,20,1,COL10A1,4.2481635958604285,2.570264764103206e-144,609.9939047733156,1.0,,,,,,,,,,,
1,DEG-only,20,2,COL11A1,4.714125261206281,3.8437376019460285e-121,567.6525542649586,2.0,,,,,,,,,,,
1,DEG-only,20,3,SCARA5,-3.81397778921538,2.619071016438445e-131,498.0362859695206,3.0,,,,,,,,,,,
1,DEG-only,20,4,VEGFD,-3.320754897761948,9.924203585407094e-143,471.5581683694246,4.0,,,,,,,,,,,
1,DEG-only,20,5,INHBA,3.3991372476324107,2.373517958294265e-129,437.2126942406159,5.0,,,,,,,,,,,
1,DEG-only,20,6,CAVIN2,-3.241316858879913,7.417023026242008e-135,434.7570859867673,6.0,,,,,,,,,,,
1,DEG-only,20,7,RRM2,3.485761873718141,3.312787961683357e-119,412.992391817575,7.0,,,,,,,,,,,
1,DEG-only,20,8,ADH1B,-4.252979716498761,1.3883261401419638e-93,394.92110017143807,8.0,,,,,,,,,,,
1,DEG-only,20,9,ECRG4,-3.5490039143038192,6.000677385545669e-104,366.3345712533833,9.0,,,,,,,,,,,
1,DEG-only,20,10,ABCA8,-3.5481824288123858,4.824985997390579e-103,363.0376214669515,10.0,,,,,,,,,,,
1,DEG-only,20,11,CHRDL1,-3.4878819461732986,3.4572178114697656e-104,360.86070712536286,11.0,,,,,,,,,,,
1,DEG-only,20,12,MAMDC2,-2.899544926117915,1.0529374954820856e-121,350.77997874020383,12.0,,,,,,,,,,,
1,DEG-only,20,13,CD300LG,-2.9878226182255863,1.0788881767525251e-116,346.4888959793735,13.0,,,,,,,,,,,
1,DEG-only,20,14,ADAMTS5,-2.899782437782798,2.0763373382091935e-118,341.2542327403005,14.0,,,,,,,,,,,
1,DEG-only,20,15,MMP11,3.0614705562487714,5.336687700392258e-112,340.6581811317325,15.0,,,,,,,,,,,
1,DEG-only,20,16,TOP2A,3.171263973875792,2.862162566707837e-106,334.7056830583361,16.0,,,,,,,,,,,
1,DEG-only,20,17,UHRF1,2.7648912086561905,1.0529374954820856e-121,334.4898955195405,17.0,,,,,,,,,,,
1,DEG-only,20,18,FMO2,-3.0485182299547864,6.073564600447512e-110,332.94866303016295,18.0,,,,,,,,,,,
1,DEG-only,20,19,MME,-2.9194882346329702,1.018976193732268e-113,329.8783357014138,19.0,,,,,,,,,,,
1,DEG-only,20,20,NTRK2,-3.4252737945766327,1.037589043999576e-93,318.4955715905626,20.0,,,,,,,,,,,
1,mRMR,20,1,COL10A1,,,,,,,,,,0.5320330966581328,0.5320330966581328,0.0,,,
1,mRMR,20,2,MT-ND4,,,,,,,,,,0.3902915187391212,0.3954271627291519,0.0051356439900306,,,
1,mRMR,20,3,RPLP1,,,,,,,,,,0.2233069591079693,0.2437375559049388,0.0204305967969694,,,
1,mRMR,20,4,UBE2T,,,,,,,,,,0.2516151897537568,0.5019521614101674,0.2503369716564106,,,
1,mRMR,20,5,UBB,,,,,,,,,,0.1875567175228936,0.2614905267481753,0.0739338092252817,,,
1,mRMR,20,6,INHBA,,,,,,,,,,0.1920786777524849,0.5223199848959108,0.3302413071434258,,,
1,mRMR,20,7,TPT1,,,,,,,,,,0.1657337546525156,0.3464386069128478,0.1807048522603321,,,
