Method,k,Fold_panels,Pairwise_comparisons,Mean_Jaccard,SD_Jaccard,Median_Jaccard,Minimum_Jaccard,Maximum_Jaccard
DEG-only,20,5,10,0.870995670995671,0.06249379197443665,0.8614718614718615,0.8181818181818182,1.0
LASSO,20,5,10,0.3293288839451242,0.025062985391302025,0.3333333333333333,0.2903225806451613,0.3793103448275862
NIBFS,20,5,10,0.9142857142857143,0.03011693009684171,0.9047619047619048,0.9047619047619048,1.0
mRMR,20,5,10,0.5948717948717948,0.04712495299859904,0.6,0.5384615384615384,0.6666666666666666
