Null_ID,Seed,Requested_swaps,Completed_swaps,Nodes,Edges,Edge_count_preserved,Maximum_absolute_degree_difference,Degree_preserved_exactly,Topology_rank_identical_exactly,Sampled_nodes,Sampled_neighbor_change_fraction,Self_loops,NIBFS_panel_invariant_by_construction,Seconds
62,104,100000,100000,13684,188626,True,0,True,True,1000,0.959,0,True,3.6573428729999478
63,105,100000,100000,13684,188626,True,0,True,True,1000,0.96,0,True,3.715001413999971
64,106,100000,100000,13684,188626,True,0,True,True,1000,0.956,0,True,3.1600864830001
65,107,100000,100000,13684,188626,True,0,True,True,1000,0.961,0,True,2.8707196820000718
66,108,100000,100000,13684,188626,True,0,True,True,1000,0.967,0,True,2.863090467999996
67,109,100000,100000,13684,188626,True,0,True,True,1000,0.953,0,True,4.784406881999985
68,110,100000,100000,13684,188626,True,0,True,True,1000,0.949,0,True,2.7262596650000432
69,111,100000,100000,13684,188626,True,0,True,True,1000,0.948,0,True,2.791463183000019
70,112,100000,100000,13684,188626,True,0,True,True,1000,0.955,0,True,3.1089313850000053
71,113,100000,100000,13684,188626,True,0,True,True,1000,0.954,0,True,3.5842313650000506
72,114,100000,100000,13684,188626,True,0,True,True,1000,0.95,0,True,3.9850865399999975
73,115,100000,100000,13684,188626,True,0,True,True,1000,0.96,0,True,2.7655845269999872
74,116,100000,100000,13684,188626,True,0,True,True,1000,0.963,0,True,2.888189572999977
75,117,100000,100000,13684,188626,True,0,True,True,1000,0.951,0,True,3.1214276079999763
76,118,100000,100000,13684,188626,True,0,True,True,1000,0.962,0,True,4.364139541999975
77,119,100000,100000,13684,188626,True,0,True,True,1000,0.95,0,True,3.2419480770000746
78,120,100000,100000,13684,188626,True,0,True,True,1000,0.955,0,True,2.8165098220000573
79,121,100000,100000,13684,188626,True,0,True,True,1000,0.961,0,True,2.722458156000016
80,122,100000,100000,13684,188626,True,0,True,True,1000,0.969,0,True,4.015796804000047
81,123,100000,100000,13684,188626,True,0,True,True,1000,0.953,0,True,3.963772499000015
82,124,100000,100000,13684,188626,True,0,True,True,1000,0.96,0,True,2.792488970999898
83,125,100000,100000,13684,188626,True,0,True,True,1000,0.951,0,True,3.1650981770000044
84,126,100000,100000,13684,188626,True,0,True,True,1000,0.961,0,True,2.781972183999983
85,127,100000,100000,13684,188626,True,0,True,True,1000,0.945,0,True,4.198063560000037
86,128,100000,100000,13684,188626,True,0,True,True,1000,0.954,0,True,3.3526322989999926
87,129,100000,100000,13684,188626,True,0,True,True,1000,0.959,0,True,2.6928377509999564
88,130,100000,100000,13684,188626,True,0,True,True,1000,0.951,0,True,3.011681779000014
89,131,100000,100000,13684,188626,True,0,True,True,1000,0.955,0,True,3.193140658999937
90,132,100000,100000,13684,188626,True,0,True,True,1000,0.957,0,True,4.113365890000068
91,133,100000,100000,13684,188626,True,0,True,True,1000,0.955,0,True,3.097084437000035
92,134,100000,100000,13684,188626,True,0,True,True,1000,0.958,0,True,2.6981080419999444
93,135,100000,100000,13684,188626,True,0,True,True,1000,0.956,0,True,2.930561732000001
94,136,100000,100000,13684,188626,True,0,True,True,1000,0.956,0,True,3.7883844880000197
95,137,100000,100000,13684,188626,True,0,True,True,1000,0.955,0,True,3.525452968999957
96,138,100000,100000,13684,188626,True,0,True,True,1000,0.96,0,True,3.090334535000011
97,139,100000,100000,13684,188626,True,0,True,True,1000,0.954,0,True,2.677838356000052
98,140,100000,100000,13684,188626,True,0,True,True,1000,0.954,0,True,2.695572026000036
99,141,100000,100000,13684,188626,True,0,True,True,1000,0.948,0,True,4.81334898800003
100,142,100000,100000,13684,188626,True,0,True,True,1000,0.951,0,True,2.917625654999938
