Repeat,Fold,Method,k,Selection_rank,Gene
1,4,NIBFS,20,6,CDC20
1,4,NIBFS,20,7,EZH2
1,4,NIBFS,20,8,STAT1
1,4,NIBFS,20,9,TOP2A
1,4,NIBFS,20,10,CAV1
1,4,NIBFS,20,11,RRM2
1,4,NIBFS,20,12,GNAI1
1,4,NIBFS,20,13,PPARG
1,4,NIBFS,20,14,KIT
1,4,NIBFS,20,15,CCNA2
1,4,NIBFS,20,16,UBE2C
1,4,NIBFS,20,17,FGF2
1,4,NIBFS,20,18,CCNB2
1,4,NIBFS,20,19,MAD2L1
1,4,NIBFS,20,20,IGF1
1,4,mRMR,20,1,INHBA
1,4,mRMR,20,2,MT-ND4
1,4,mRMR,20,3,RPS15
1,4,mRMR,20,4,ADAMTS5
1,4,mRMR,20,5,UBB
1,4,mRMR,20,6,SCARA5
1,4,mRMR,20,7,RPLP1
1,4,mRMR,20,8,UBE2T
1,4,mRMR,20,9,TPT1
1,4,mRMR,20,10,COL11A1
1,4,mRMR,20,11,MT-ND2
1,4,mRMR,20,12,COL10A1
1,4,mRMR,20,13,RPL32
1,4,mRMR,20,14,VEGFD
1,4,mRMR,20,15,RPS3
1,4,mRMR,20,16,TOP2A
1,4,mRMR,20,17,SPRY2
1,4,mRMR,20,18,KLHL29
1,4,mRMR,20,19,PABPC1
1,4,mRMR,20,20,RPS12
1,5,DEG-only,20,1,SCARA5
1,5,DEG-only,20,2,COL10A1
1,5,DEG-only,20,3,COL11A1
1,5,DEG-only,20,4,VEGFD
1,5,DEG-only,20,5,CAVIN2
1,5,DEG-only,20,6,INHBA
1,5,DEG-only,20,7,RRM2
1,5,DEG-only,20,8,ABCA8
1,5,DEG-only,20,9,ADH1B
1,5,DEG-only,20,10,CHRDL1
1,5,DEG-only,20,11,ECRG4
1,5,DEG-only,20,12,NTRK2
1,5,DEG-only,20,13,MAMDC2
1,5,DEG-only,20,14,ADAMTS5
1,5,DEG-only,20,15,CD300LG
1,5,DEG-only,20,16,UHRF1
1,5,DEG-only,20,17,FMO2
1,5,DEG-only,20,18,MMP11
1,5,DEG-only,20,19,MME
1,5,DEG-only,20,20,TOP2A
1,5,LASSO,20,1,LINC00852
1,5,LASSO,20,2,CTHRC1
1,5,LASSO,20,3,INHBA
1,5,LASSO,20,4,LYVE1
1,5,LASSO,20,5,ASPN
1,5,LASSO,20,6,COL10A1
1,5,LASSO,20,7,CXCL2
1,5,LASSO,20,8,SIGLEC11
1,5,LASSO,20,9,LRP2BP
1,5,LASSO,20,10,FAP
1,5,LASSO,20,11,BGN
1,5,LASSO,20,12,LINC00445
1,5,LASSO,20,13,SIGLEC16
1,5,LASSO,20,14,TCEAL7
1,5,LASSO,20,15,RBMS1
1,5,LASSO,20,16,LSAMP
1,5,LASSO,20,17,COL11A1
1,5,LASSO,20,18,SCARA5
1,5,LASSO,20,19,GZMK
1,5,LASSO,20,20,GABARAPL1
1,5,NIBFS,20,1,CDK1
1,5,NIBFS,20,2,EGFR
1,5,NIBFS,20,3,CCNB1
1,5,NIBFS,20,4,BUB1B
1,5,NIBFS,20,5,CDC20
1,5,NIBFS,20,6,FN1
1,5,NIBFS,20,7,STAT1
1,5,NIBFS,20,8,CAV1
1,5,NIBFS,20,9,EZH2
1,5,NIBFS,20,10,TOP2A
1,5,NIBFS,20,11,GNAI1
1,5,NIBFS,20,12,RRM2
1,5,NIBFS,20,13,KIT
1,5,NIBFS,20,14,PPARG
1,5,NIBFS,20,15,CCNA2
1,5,NIBFS,20,16,UBE2C
1,5,NIBFS,20,17,FGF2
1,5,NIBFS,20,18,MAD2L1
1,5,NIBFS,20,19,CCNB2
1,5,NIBFS,20,20,IGF1
1,5,mRMR,20,1,SCARA5
1,5,mRMR,20,2,MT-ND4
1,5,mRMR,20,3,UBB
1,5,mRMR,20,4,INHBA
1,5,mRMR,20,5,RPS15
1,5,mRMR,20,6,TPT1
1,5,mRMR,20,7,COL11A1
1,5,mRMR,20,8,RPL32
1,5,mRMR,20,9,ADAMTS5
1,5,mRMR,20,10,RPLP1
1,5,mRMR,20,11,UBE2T
1,5,mRMR,20,12,MAMDC2
1,5,mRMR,20,13,RPS3
1,5,mRMR,20,14,COL10A1
1,5,mRMR,20,15,SPRY2
1,5,mRMR,20,16,PABPC1
1,5,mRMR,20,17,VEGFD
1,5,mRMR,20,18,MMP11
1,5,mRMR,20,19,RPS12
1,5,mRMR,20,20,CAVIN2
2,1,DEG-only,20,1,COL11A1
2,1,DEG-only,20,2,COL10A1
2,1,DEG-only,20,3,SCARA5
2,1,DEG-only,20,4,VEGFD
2,1,DEG-only,20,5,INHBA
2,1,DEG-only,20,6,CAVIN2
2,1,DEG-only,20,7,ADH1B
2,1,DEG-only,20,8,ABCA8
2,1,DEG-only,20,9,RRM2
2,1,DEG-only,20,10,CHRDL1
2,1,DEG-only,20,11,ECRG4
2,1,DEG-only,20,12,MAMDC2
2,1,DEG-only,20,13,ADAMTS5
2,1,DEG-only,20,14,UHRF1
2,1,DEG-only,20,15,CD300LG
2,1,DEG-only,20,16,FMO2
2,1,DEG-only,20,17,LIFR
2,1,DEG-only,20,18,TOP2A
2,1,DEG-only,20,19,NTRK2
2,1,DEG-only,20,20,MMP11
2,1,LASSO,20,1,BPIFB2
2,1,LASSO,20,2,CTHRC1
2,1,LASSO,20,3,INHBA
2,1,LASSO,20,4,GTF2F2
2,1,LASSO,20,5,LINC00852
2,1,LASSO,20,6,CLEC4G
2,1,LASSO,20,7,ASPN
2,1,LASSO,20,8,CREB5
2,1,LASSO,20,9,PCNX1
2,1,LASSO,20,10,COL10A1
2,1,LASSO,20,11,ITGBL1
2,1,LASSO,20,12,COL8A1
2,1,LASSO,20,13,ATF3
2,1,LASSO,20,14,MAPRE2
2,1,LASSO,20,15,PLP1
2,1,LASSO,20,16,JUN
2,1,LASSO,20,17,CXCL2
2,1,LASSO,20,18,TCEAL7
2,1,LASSO,20,19,RBMS1
2,1,LASSO,20,20,LYVE1
2,1,NIBFS,20,1,CDK1
2,1,NIBFS,20,2,EGFR
2,1,NIBFS,20,3,CCNB1
2,1,NIBFS,20,4,FN1
2,1,NIBFS,20,5,BUB1B
2,1,NIBFS,20,6,CDC20
2,1,NIBFS,20,7,EZH2
2,1,NIBFS,20,8,CAV1
2,1,NIBFS,20,9,TOP2A
2,1,NIBFS,20,10,STAT1
2,1,NIBFS,20,11,RRM2
2,1,NIBFS,20,12,GNAI1
2,1,NIBFS,20,13,KIT
2,1,NIBFS,20,14,PPARG
2,1,NIBFS,20,15,UBE2C
2,1,NIBFS,20,16,FGF2
2,1,NIBFS,20,17,CCNA2
2,1,NIBFS,20,18,MAD2L1
2,1,NIBFS,20,19,CCNB2
2,1,NIBFS,20,20,GNG2
2,1,mRMR,20,1,VEGFD
2,1,mRMR,20,2,MT-ND4
2,1,mRMR,20,3,RPS15
2,1,mRMR,20,4,INHBA
2,1,mRMR,20,5,UBB
2,1,mRMR,20,6,TPT1
2,1,mRMR,20,7,SCARA5
2,1,mRMR,20,8,NKX1-1
2,1,mRMR,20,9,UBE2T
2,1,mRMR,20,10,RPL32
2,1,mRMR,20,11,COL11A1
2,1,mRMR,20,12,MT-ND2
2,1,mRMR,20,13,ADAMTS5
2,1,mRMR,20,14,RPLP1
2,1,mRMR,20,15,COL10A1
2,1,mRMR,20,16,RPS14
2,1,mRMR,20,17,SPRY2
2,1,mRMR,20,18,UHRF1
2,1,mRMR,20,19,MAMDC2
2,1,mRMR,20,20,RPS12
2,2,DEG-only,20,1,COL11A1
2,2,DEG-only,20,2,COL10A1
2,2,DEG-only,20,3,SCARA5
2,2,DEG-only,20,4,CAVIN2
2,2,DEG-only,20,5,VEGFD
2,2,DEG-only,20,6,RRM2
2,2,DEG-only,20,7,INHBA
2,2,DEG-only,20,8,ECRG4
2,2,DEG-only,20,9,ADH1B
2,2,DEG-only,20,10,ABCA8
2,2,DEG-only,20,11,CHRDL1
2,2,DEG-only,20,12,MAMDC2
2,2,DEG-only,20,13,ADAMTS5
2,2,DEG-only,20,14,NTRK2
2,2,DEG-only,20,15,CD300LG
2,2,DEG-only,20,16,TOP2A
2,2,DEG-only,20,17,MMP11
2,2,DEG-only,20,18,UHRF1
2,2,DEG-only,20,19,NUSAP1
2,2,DEG-only,20,20,PCLAF
2,2,LASSO,20,1,BPIFB2
2,2,LASSO,20,2,ITGBL1
2,2,LASSO,20,3,LRP2BP
2,2,LASSO,20,4,COL8A1
2,2,LASSO,20,5,CTHRC1
2,2,LASSO,20,6,SIX4
2,2,LASSO,20,7,INHBA
2,2,LASSO,20,8,ASPN
2,2,LASSO,20,9,S100P
2,2,LASSO,20,10,CREB5
2,2,LASSO,20,11,DPP6
2,2,LASSO,20,12,GTF2F2
2,2,LASSO,20,13,RBMS1
2,2,LASSO,20,14,BGN
2,2,LASSO,20,15,COL10A1
2,2,LASSO,20,16,MT1M
2,2,LASSO,20,17,LYVE1
2,2,LASSO,20,18,CLEC4G
2,2,LASSO,20,19,CCN4
2,2,LASSO,20,20,IER5L
2,2,NIBFS,20,1,CDK1
2,2,NIBFS,20,2,EGFR
2,2,NIBFS,20,3,CCNB1
2,2,NIBFS,20,4,FN1
2,2,NIBFS,20,5,BUB1B
2,2,NIBFS,20,6,CDC20
2,2,NIBFS,20,7,EZH2
2,2,NIBFS,20,8,CAV1
2,2,NIBFS,20,9,TOP2A
2,2,NIBFS,20,10,STAT1
2,2,NIBFS,20,11,GNAI1
2,2,NIBFS,20,12,RRM2
2,2,NIBFS,20,13,PPARG
2,2,NIBFS,20,14,KIT
2,2,NIBFS,20,15,CCNA2
2,2,NIBFS,20,16,FGF2
2,2,NIBFS,20,17,UBE2C
2,2,NIBFS,20,18,MAD2L1
2,2,NIBFS,20,19,CCNB2
2,2,NIBFS,20,20,FOXO1
2,2,mRMR,20,1,VEGFD
2,2,mRMR,20,2,MT-ND4
2,2,mRMR,20,3,RPS15
2,2,mRMR,20,4,INHBA
2,2,mRMR,20,5,UBB
2,2,mRMR,20,6,SCARA5
2,2,mRMR,20,7,TPT1
2,2,mRMR,20,8,RPL32
2,2,mRMR,20,9,UBE2T
2,2,mRMR,20,10,RPLP1
2,2,mRMR,20,11,COL11A1
2,2,mRMR,20,12,MRFAP1
2,2,mRMR,20,13,COL10A1
2,2,mRMR,20,14,CAVIN2
2,2,mRMR,20,15,RPS12
2,2,mRMR,20,16,ADAMTS5
2,2,mRMR,20,17,GJB2
2,2,mRMR,20,18,RPS19
2,2,mRMR,20,19,KLHL29
2,2,mRMR,20,20,CCN4
2,3,DEG-only,20,1,COL10A1
2,3,DEG-only,20,2,COL11A1
2,3,DEG-only,20,3,SCARA5
2,3,DEG-only,20,4,VEGFD
2,3,DEG-only,20,5,CAVIN2
2,3,DEG-only,20,6,INHBA
2,3,DEG-only,20,7,RRM2
2,3,DEG-only,20,8,ADH1B
2,3,DEG-only,20,9,ABCA8
2,3,DEG-only,20,10,ECRG4
2,3,DEG-only,20,11,CHRDL1
2,3,DEG-only,20,12,TOP2A
2,3,DEG-only,20,13,FMO2
2,3,DEG-only,20,14,UHRF1
2,3,DEG-only,20,15,MAMDC2
2,3,DEG-only,20,16,ADAMTS5
2,3,DEG-only,20,17,NTRK2
2,3,DEG-only,20,18,NUSAP1
2,3,DEG-only,20,19,CD300LG
2,3,DEG-only,20,20,PCLAF
2,3,LASSO,20,1,LINC00852
2,3,LASSO,20,2,CTHRC1
2,3,LASSO,20,3,HPR
2,3,LASSO,20,4,CILP2
2,3,LASSO,20,5,COL10A1
2,3,LASSO,20,6,INHBA
2,3,LASSO,20,7,CCN4
2,3,LASSO,20,8,VEGFD
