Fold,Method,k,Selection_rank,Gene
3,NIBFS,20,2,EGFR
3,NIBFS,20,3,CCNB1
3,NIBFS,20,4,BUB1B
3,NIBFS,20,5,FN1
3,NIBFS,20,6,CDC20
3,NIBFS,20,7,EZH2
3,NIBFS,20,8,TOP2A
3,NIBFS,20,9,CAV1
3,NIBFS,20,10,STAT1
3,NIBFS,20,11,RRM2
3,NIBFS,20,12,GNAI1
3,NIBFS,20,13,KIT
3,NIBFS,20,14,CCNA2
3,NIBFS,20,15,PPARG
3,NIBFS,20,16,UBE2C
3,NIBFS,20,17,CCNB2
3,NIBFS,20,18,FGF2
3,NIBFS,20,19,MAD2L1
3,NIBFS,20,20,FOXO1
3,DEG-only,20,1,COL11A1
3,DEG-only,20,2,COL10A1
3,DEG-only,20,3,SCARA5
3,DEG-only,20,4,VEGFD
3,DEG-only,20,5,CAVIN2
3,DEG-only,20,6,INHBA
3,DEG-only,20,7,ADH1B
3,DEG-only,20,8,RRM2
3,DEG-only,20,9,ECRG4
3,DEG-only,20,10,ABCA8
3,DEG-only,20,11,CHRDL1
3,DEG-only,20,12,MAMDC2
3,DEG-only,20,13,TOP2A
3,DEG-only,20,14,ADAMTS5
3,DEG-only,20,15,FMO2
3,DEG-only,20,16,NTRK2
3,DEG-only,20,17,UHRF1
3,DEG-only,20,18,CD300LG
3,DEG-only,20,19,NUSAP1
3,DEG-only,20,20,MMP11
3,mRMR,20,1,VEGFD
3,mRMR,20,2,MT-ND4
3,mRMR,20,3,RPS15
3,mRMR,20,4,INHBA
3,mRMR,20,5,UBB
3,mRMR,20,6,UHRF1
3,mRMR,20,7,TPT1
3,mRMR,20,8,RPL32
3,mRMR,20,9,SCARA5
3,mRMR,20,10,RPS3
3,mRMR,20,11,COL10A1
3,mRMR,20,12,MT-ND2
3,mRMR,20,13,UBE2T
3,mRMR,20,14,RPLP1
3,mRMR,20,15,ADAMTS5
3,mRMR,20,16,GJB2
3,mRMR,20,17,MAMDC2
3,mRMR,20,18,COL11A1
3,mRMR,20,19,RPS12
3,mRMR,20,20,HOXA5
3,LASSO,20,1,BPIFB2
3,LASSO,20,2,CTHRC1
3,LASSO,20,3,INHBA
3,LASSO,20,4,LINC00852
3,LASSO,20,5,PRR4
3,LASSO,20,6,COL8A1
3,LASSO,20,7,PCNX1
3,LASSO,20,8,ITGBL1
3,LASSO,20,9,COL10A1
3,LASSO,20,10,RBMS1
3,LASSO,20,11,SIX4
3,LASSO,20,12,ASPN
3,LASSO,20,13,DPP6
3,LASSO,20,14,S100P
3,LASSO,20,15,CLEC4G
3,LASSO,20,16,MEDAG
3,LASSO,20,17,COL11A1
3,LASSO,20,18,MAPRE2
3,LASSO,20,19,LINC00475
3,LASSO,20,20,TCEAL7
4,NIBFS,20,1,CDK1
4,NIBFS,20,2,EGFR
4,NIBFS,20,3,CCNB1
4,NIBFS,20,4,BUB1B
4,NIBFS,20,5,FN1
4,NIBFS,20,6,CDC20
4,NIBFS,20,7,EZH2
4,NIBFS,20,8,STAT1
4,NIBFS,20,9,TOP2A
4,NIBFS,20,10,CAV1
4,NIBFS,20,11,RRM2
4,NIBFS,20,12,GNAI1
4,NIBFS,20,13,PPARG
4,NIBFS,20,14,KIT
4,NIBFS,20,15,CCNA2
4,NIBFS,20,16,UBE2C
4,NIBFS,20,17,FGF2
4,NIBFS,20,18,CCNB2
4,NIBFS,20,19,MAD2L1
4,NIBFS,20,20,IGF1
4,DEG-only,20,1,COL11A1
4,DEG-only,20,2,COL10A1
4,DEG-only,20,3,SCARA5
4,DEG-only,20,4,VEGFD
4,DEG-only,20,5,INHBA
4,DEG-only,20,6,CAVIN2
4,DEG-only,20,7,RRM2
4,DEG-only,20,8,ADH1B
4,DEG-only,20,9,ECRG4
4,DEG-only,20,10,ABCA8
4,DEG-only,20,11,TOP2A
4,DEG-only,20,12,CHRDL1
4,DEG-only,20,13,ADAMTS5
4,DEG-only,20,14,MAMDC2
