Dataset,Pairs,Samples,Classifier,ROC_AUC,Pair_cluster_bootstrap_iterations,AUC_CI_low,AUC_CI_high
GSE15852,43,86,LR,0.8696592752839373,2000,0.8031368307193076,0.932395889670092
GSE15852,43,86,LightGBM,0.9280692266089778,2000,0.8680367766360195,0.9740400216333153
GSE15852,43,86,RF,0.9283396430502975,2000,0.8729042725797729,0.9756625202812331
