Repeat,Method,Mean_Jaccard,SD_pairwise_Jaccard
1,DEG-only,0.8204404291360813,0.06764670033359199
1,LASSO,0.2982834271880925,0.1104031077129904
1,NIBFS,0.9064935064935066,0.06064727520491172
1,Stability-selection,0.2845581047668334,0.05892262689982448
1,mRMR,0.6472463768115941,0.046256890041482805
2,DEG-only,0.8528138528138529,0.04470976445838286
2,LASSO,0.36619218509685036,0.18841596758910623
2,NIBFS,0.8883116883116884,0.0566201110213565
2,Stability-selection,0.33863725636545106,0.16881892998910536
2,mRMR,0.6639241917502787,0.08688547727146381
3,DEG-only,0.8536796536796538,0.06275978079930038
3,LASSO,0.3150252182984631,0.1427174487410629
3,NIBFS,0.9142857142857144,0.03011693009684171
3,Stability-selection,0.340101444717685,0.10228234304466012
3,mRMR,0.6216053511705686,0.06289026043755953
4,DEG-only,0.8528138528138529,0.04470976445838286
4,LASSO,0.31452155968285,0.06859790091031527
4,NIBFS,0.9047619047619048,0.0
4,Stability-selection,0.34490764070035157,0.10161536774151406
4,mRMR,0.625214913910566,0.10137009443633264
5,DEG-only,0.8796536796536797,0.060323673879229364
5,LASSO,0.2816322949444719,0.07243946795611751
5,NIBFS,0.9142857142857143,0.03011693009684171
5,Stability-selection,0.33858256130224984,0.09035754031195738
5,mRMR,0.6828316610925307,0.062207069273565216
6,DEG-only,0.9056277056277058,0.04289380953186545
6,LASSO,0.34514807073205295,0.10720772004537196
6,NIBFS,0.9142857142857144,0.03011693009684171
6,Stability-selection,0.3441343080304672,0.09679359985209139
6,mRMR,0.6333333333333333,0.03513641844631532
7,DEG-only,0.8362507058159233,0.05320046824212853
7,LASSO,0.3202136573104315,0.08139114552054758
7,NIBFS,0.9333333333333333,0.04600437062282361
7,Stability-selection,0.32136056791229206,0.0912701902158572
7,mRMR,0.5816885208189555,0.10963758606504091
8,DEG-only,0.8528138528138529,0.04470976445838286
8,LASSO,0.3156682027649769,0.07987341950580845
8,NIBFS,0.8874458874458876,0.03650536981435357
8,Stability-selection,0.3450653577461142,0.06595903576314986
8,mRMR,0.5923275114579462,0.09546643075795537
9,DEG-only,0.8117824204780728,0.060855076960403785
9,LASSO,0.35945568562365005,0.07313363399135134
9,NIBFS,0.9047619047619048,0.0
9,Stability-selection,0.34313942086761556,0.14458957342972642
9,mRMR,0.6377255272907447,0.09654899987280664
10,DEG-only,0.8535667231319406,0.05888667383213788
10,LASSO,0.38353402663747493,0.12249482695382446
10,NIBFS,0.8883116883116884,0.0566201110213565
10,Stability-selection,0.3553238651877662,0.1130124405660374
10,mRMR,0.6226978818283165,0.07732503763344575
