screen_k,n_subsamples,subsample_fraction,base_selector,solver,C,selection_probability_threshold,thresholded_set_size,converged_subsamples,max_iterations_used,fixed_k_reporting,fixed_k_rule,screen_rule,Repeat,Fold,outer_seed,selector_seed,outer_train_n,outer_valid_n,runtime_seconds,outer_validation_used_for_screening_or_selection
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,5,4,46,66,487,121,1.1517055240001355,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,5,5,46,67,487,121,1.249225846000627,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,2,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,6,1,47,68,486,122,1.54361038800198,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,6,2,47,69,486,122,1.5135503530000278,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,6,3,47,70,486,122,1.317269754003064,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,6,4,47,71,487,121,1.1423744140010967,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,6,5,47,72,487,121,1.1449196670000674,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,2,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,7,1,48,73,486,122,1.1301893909985665,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,7,2,48,74,486,122,1.1494985380013532,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,0,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,7,3,48,75,486,122,1.1541061840034672,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,7,4,48,76,487,121,1.1477060320030432,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,0,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,7,5,48,77,487,121,1.1586956249993818,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,0,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,8,1,49,78,486,122,1.326841988000524,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,2,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,8,2,49,79,486,122,1.5388292410025315,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,0,50,10,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,8,3,49,80,486,122,1.4811203489989566,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,8,4,49,81,487,121,1.2303436859983776,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,2,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,8,5,49,82,487,121,1.1590373870021722,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,10,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,9,1,50,83,486,122,1.1613689860023442,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,9,2,50,84,486,122,1.1515655410003092,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,2,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,9,3,50,85,486,122,1.1587382199977583,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,9,4,50,86,487,121,1.1632366470003035,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,9,5,50,87,487,121,1.1531979559986212,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,10,1,51,88,486,122,1.1421446839995042,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,0,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,10,2,51,89,486,122,1.3925296060006076,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,2,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,10,3,51,90,486,122,1.5440122110012453,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,10,4,51,91,487,121,1.6124433980003232,False
1000,50,0.5,L1 logistic regression,liblinear,1.0,0.9,1,50,9,20,"top 20 by selection probability, then mean absolute coefficient, then gene symbol",outer-training absolute Welch-style standardized mean difference,10,5,51,92,487,121,1.1540327570000954,False
