Repeat,Fold,Method,k,Selection_rank,Gene
2,2,Stability-selection,20,16,PCNX1
2,2,Stability-selection,20,17,GABARAPL1
2,2,Stability-selection,20,18,ADAMDEC1
2,2,Stability-selection,20,19,COL1A1
2,2,Stability-selection,20,20,TTYH3
2,3,Stability-selection,20,1,VEGFD
2,3,Stability-selection,20,2,CTHRC1
2,3,Stability-selection,20,3,INHBA
2,3,Stability-selection,20,4,CILP2
2,3,Stability-selection,20,5,COL10A1
2,3,Stability-selection,20,6,ABCA9
2,3,Stability-selection,20,7,CCN4
2,3,Stability-selection,20,8,SIX4
2,3,Stability-selection,20,9,GABARAPL1
2,3,Stability-selection,20,10,LEF1
2,3,Stability-selection,20,11,BARD1
2,3,Stability-selection,20,12,LSR
2,3,Stability-selection,20,13,COL11A1
2,3,Stability-selection,20,14,PCNX1
2,3,Stability-selection,20,15,GAS7
2,3,Stability-selection,20,16,EMP1
2,3,Stability-selection,20,17,CD248
2,3,Stability-selection,20,18,LRIG3
2,3,Stability-selection,20,19,EGR2
2,3,Stability-selection,20,20,PIK3R1
2,4,Stability-selection,20,1,CTHRC1
2,4,Stability-selection,20,2,MEDAG
2,4,Stability-selection,20,3,INHBA
2,4,Stability-selection,20,4,IER5L
2,4,Stability-selection,20,5,PCNX1
2,4,Stability-selection,20,6,GABARAPL1
2,4,Stability-selection,20,7,EIF3F
2,4,Stability-selection,20,8,BGN
2,4,Stability-selection,20,9,POSTN
2,4,Stability-selection,20,10,GAS7
2,4,Stability-selection,20,11,ATF3
2,4,Stability-selection,20,12,ZBTB16
2,4,Stability-selection,20,13,ALDH1A3
2,4,Stability-selection,20,14,BARD1
2,4,Stability-selection,20,15,JUN
2,4,Stability-selection,20,16,SIX4
2,4,Stability-selection,20,17,GSTM5
2,4,Stability-selection,20,18,VIT
2,4,Stability-selection,20,19,SELENOI
2,4,Stability-selection,20,20,MT1M
2,5,Stability-selection,20,1,CTHRC1
2,5,Stability-selection,20,2,INHBA
2,5,Stability-selection,20,3,BGN
2,5,Stability-selection,20,4,GAS7
2,5,Stability-selection,20,5,CREB5
2,5,Stability-selection,20,6,GSTM5
2,5,Stability-selection,20,7,LYVE1
2,5,Stability-selection,20,8,POSTN
2,5,Stability-selection,20,9,PCNX1
2,5,Stability-selection,20,10,PLP1
2,5,Stability-selection,20,11,MEDAG
2,5,Stability-selection,20,12,IER5L
2,5,Stability-selection,20,13,BBS2
2,5,Stability-selection,20,14,CXCL2
2,5,Stability-selection,20,15,EIF3F
2,5,Stability-selection,20,16,ZBTB16
2,5,Stability-selection,20,17,PPAT
2,5,Stability-selection,20,18,SCARA5
2,5,Stability-selection,20,19,JUN
2,5,Stability-selection,20,20,ALDH1A2
3,1,Stability-selection,20,1,CTHRC1
3,1,Stability-selection,20,2,INHBA
3,1,Stability-selection,20,3,MEDAG
3,1,Stability-selection,20,4,GAS7
3,1,Stability-selection,20,5,EIF3F
3,1,Stability-selection,20,6,IER5L
3,1,Stability-selection,20,7,BGN
3,1,Stability-selection,20,8,BARD1
3,1,Stability-selection,20,9,PCNX1
3,1,Stability-selection,20,10,CREB5
3,1,Stability-selection,20,11,ZBTB16
3,1,Stability-selection,20,12,GABARAPL1
3,1,Stability-selection,20,13,COL1A1
3,1,Stability-selection,20,14,CXCR4
3,1,Stability-selection,20,15,SIX4
3,1,Stability-selection,20,16,IRF9
3,1,Stability-selection,20,17,LYVE1
3,1,Stability-selection,20,18,BBS2
3,1,Stability-selection,20,19,CILP2
3,1,Stability-selection,20,20,E2F8
3,2,Stability-selection,20,1,CTHRC1
3,2,Stability-selection,20,2,INHBA
3,2,Stability-selection,20,3,GAS7
3,2,Stability-selection,20,4,COL10A1
3,2,Stability-selection,20,5,MEDAG
3,2,Stability-selection,20,6,BARD1
3,2,Stability-selection,20,7,PCNX1
3,2,Stability-selection,20,8,GABARAPL1
3,2,Stability-selection,20,9,GSTM5
