Method,Mean_Jaccard,SD_between_repeats,Median_Jaccard,Minimum_repeat_mean,Maximum_repeat_mean,Nogueira_stability
NIBFS,0.9056277056277058,0.014624945984784895,0.9056277056277057,0.8874458874458876,0.9333333333333333,0.9536604651162791
DEG-only,0.8519442875964616,0.026893595232236882,0.8528138528138529,0.8117824204780728,0.9056277056277058,0.9276302325581395
mRMR,0.6308595269464835,0.030189739337516484,0.6292741236219497,0.5816885208189555,0.6828316610925307,0.7804797342192692
Stability-selection,0.33558105275968264,0.019836413819831002,0.3416204327926503,0.2845581047668334,0.3553238651877662,0.5323548172757473
LASSO,0.32996743282793145,0.032289028281923156,0.3179409300377042,0.2816322949444719,0.38353402663747493,0.528963122923588
