Repeat,Method,Fold_A,Fold_B,Intersection,Union,Jaccard
5,mRMR,2,3,16,24,0.6666666666666666
5,mRMR,2,4,16,24,0.6666666666666666
5,mRMR,2,5,17,23,0.7391304347826086
5,mRMR,3,4,16,24,0.6666666666666666
5,mRMR,3,5,14,26,0.5384615384615384
5,mRMR,4,5,16,24,0.6666666666666666
6,DEG-only,1,2,19,21,0.9047619047619048
6,DEG-only,1,3,19,21,0.9047619047619048
6,DEG-only,1,4,19,21,0.9047619047619048
6,DEG-only,1,5,19,21,0.9047619047619048
6,DEG-only,2,3,19,21,0.9047619047619048
6,DEG-only,2,4,19,21,0.9047619047619048
6,DEG-only,2,5,20,20,1.0
6,DEG-only,3,4,18,22,0.8181818181818182
6,DEG-only,3,5,19,21,0.9047619047619048
6,DEG-only,4,5,19,21,0.9047619047619048
6,LASSO,1,2,12,28,0.42857142857142855
6,LASSO,1,3,10,30,0.3333333333333333
6,LASSO,1,4,8,32,0.25
6,LASSO,1,5,9,31,0.2903225806451613
6,LASSO,2,3,11,29,0.3793103448275862
6,LASSO,2,4,13,27,0.48148148148148145
6,LASSO,2,5,14,26,0.5384615384615384
6,LASSO,3,4,8,32,0.25
6,LASSO,3,5,8,32,0.25
6,LASSO,4,5,8,32,0.25
6,NIBFS,1,2,19,21,0.9047619047619048
6,NIBFS,1,3,19,21,0.9047619047619048
6,NIBFS,1,4,19,21,0.9047619047619048
6,NIBFS,1,5,19,21,0.9047619047619048
6,NIBFS,2,3,19,21,0.9047619047619048
6,NIBFS,2,4,19,21,0.9047619047619048
6,NIBFS,2,5,19,21,0.9047619047619048
6,NIBFS,3,4,20,20,1.0
6,NIBFS,3,5,19,21,0.9047619047619048
6,NIBFS,4,5,19,21,0.9047619047619048
6,Stability-selection,1,2,13,27,0.48148148148148145
6,Stability-selection,1,3,8,32,0.25
6,Stability-selection,1,4,11,29,0.3793103448275862
6,Stability-selection,1,5,11,29,0.3793103448275862
6,Stability-selection,2,3,9,31,0.2903225806451613
6,Stability-selection,2,4,11,29,0.3793103448275862
6,Stability-selection,2,5,13,27,0.48148148148148145
6,Stability-selection,3,4,6,34,0.17647058823529413
6,Stability-selection,3,5,10,30,0.3333333333333333
6,Stability-selection,4,5,9,31,0.2903225806451613
6,mRMR,1,2,16,24,0.6666666666666666
6,mRMR,1,3,15,25,0.6
6,mRMR,1,4,16,24,0.6666666666666666
6,mRMR,1,5,15,25,0.6
6,mRMR,2,3,15,25,0.6
6,mRMR,2,4,16,24,0.6666666666666666
6,mRMR,2,5,16,24,0.6666666666666666
6,mRMR,3,4,15,25,0.6
6,mRMR,3,5,15,25,0.6
6,mRMR,4,5,16,24,0.6666666666666666
7,DEG-only,1,2,19,21,0.9047619047619048
7,DEG-only,1,3,18,22,0.8181818181818182
7,DEG-only,1,4,18,22,0.8181818181818182
7,DEG-only,1,5,18,22,0.8181818181818182
7,DEG-only,2,3,18,22,0.8181818181818182
7,DEG-only,2,4,18,22,0.8181818181818182
7,DEG-only,2,5,17,23,0.7391304347826086
7,DEG-only,3,4,19,21,0.9047619047619048
7,DEG-only,3,5,19,21,0.9047619047619048
7,DEG-only,4,5,18,22,0.8181818181818182
7,LASSO,1,2,9,31,0.2903225806451613
7,LASSO,1,3,12,28,0.42857142857142855
7,LASSO,1,4,9,31,0.2903225806451613
7,LASSO,1,5,12,28,0.42857142857142855
7,LASSO,2,3,9,31,0.2903225806451613
7,LASSO,2,4,8,32,0.25
7,LASSO,2,5,7,33,0.21212121212121213
7,LASSO,3,4,10,30,0.3333333333333333
7,LASSO,3,5,12,28,0.42857142857142855
7,LASSO,4,5,8,32,0.25
7,NIBFS,1,2,19,21,0.9047619047619048
7,NIBFS,1,3,19,21,0.9047619047619048
7,NIBFS,1,4,19,21,0.9047619047619048
7,NIBFS,1,5,19,21,0.9047619047619048
7,NIBFS,2,3,19,21,0.9047619047619048
7,NIBFS,2,4,19,21,0.9047619047619048
7,NIBFS,2,5,19,21,0.9047619047619048
7,NIBFS,3,4,20,20,1.0
7,NIBFS,3,5,20,20,1.0
7,NIBFS,4,5,20,20,1.0
7,Stability-selection,1,2,8,32,0.25
7,Stability-selection,1,3,12,28,0.42857142857142855
7,Stability-selection,1,4,8,32,0.25
7,Stability-selection,1,5,10,30,0.3333333333333333
7,Stability-selection,2,3,7,33,0.21212121212121213
7,Stability-selection,2,4,7,33,0.21212121212121213
7,Stability-selection,2,5,11,29,0.3793103448275862
7,Stability-selection,3,4,10,30,0.3333333333333333
7,Stability-selection,3,5,13,27,0.48148148148148145
7,Stability-selection,4,5,10,30,0.3333333333333333
7,mRMR,1,2,15,25,0.6
7,mRMR,1,3,17,23,0.7391304347826086
7,mRMR,1,4,15,25,0.6
7,mRMR,1,5,13,27,0.48148148148148145
7,mRMR,2,3,15,25,0.6
7,mRMR,2,4,17,23,0.7391304347826086
7,mRMR,2,5,12,28,0.42857142857142855
7,mRMR,3,4,15,25,0.6
7,mRMR,3,5,15,25,0.6
7,mRMR,4,5,12,28,0.42857142857142855
8,DEG-only,1,2,18,22,0.8181818181818182
8,DEG-only,1,3,18,22,0.8181818181818182
8,DEG-only,1,4,18,22,0.8181818181818182
8,DEG-only,1,5,18,22,0.8181818181818182
8,DEG-only,2,3,19,21,0.9047619047619048
8,DEG-only,2,4,18,22,0.8181818181818182
8,DEG-only,2,5,19,21,0.9047619047619048
8,DEG-only,3,4,19,21,0.9047619047619048
8,DEG-only,3,5,18,22,0.8181818181818182
8,DEG-only,4,5,19,21,0.9047619047619048
8,LASSO,1,2,9,31,0.2903225806451613
8,LASSO,1,3,8,32,0.25
8,LASSO,1,4,8,32,0.25
8,LASSO,1,5,8,32,0.25
8,LASSO,2,3,9,31,0.2903225806451613
8,LASSO,2,4,8,32,0.25
8,LASSO,2,5,9,31,0.2903225806451613
8,LASSO,3,4,12,28,0.42857142857142855
8,LASSO,3,5,12,28,0.42857142857142855
8,LASSO,4,5,12,28,0.42857142857142855
8,NIBFS,1,2,19,21,0.9047619047619048
8,NIBFS,1,3,18,22,0.8181818181818182
8,NIBFS,1,4,19,21,0.9047619047619048
8,NIBFS,1,5,19,21,0.9047619047619048
8,NIBFS,2,3,19,21,0.9047619047619048
8,NIBFS,2,4,19,21,0.9047619047619048
8,NIBFS,2,5,19,21,0.9047619047619048
8,NIBFS,3,4,18,22,0.8181818181818182
8,NIBFS,3,5,19,21,0.9047619047619048
8,NIBFS,4,5,19,21,0.9047619047619048
8,Stability-selection,1,2,11,29,0.3793103448275862
8,Stability-selection,1,3,9,31,0.2903225806451613
8,Stability-selection,1,4,12,28,0.42857142857142855
8,Stability-selection,1,5,10,30,0.3333333333333333
8,Stability-selection,2,3,13,27,0.48148148148148145
8,Stability-selection,2,4,10,30,0.3333333333333333
8,Stability-selection,2,5,9,31,0.2903225806451613
8,Stability-selection,3,4,9,31,0.2903225806451613
8,Stability-selection,3,5,10,30,0.3333333333333333
8,Stability-selection,4,5,9,31,0.2903225806451613
8,mRMR,1,2,16,24,0.6666666666666666
8,mRMR,1,3,15,25,0.6
8,mRMR,1,4,17,23,0.7391304347826086
8,mRMR,1,5,13,27,0.48148148148148145
8,mRMR,2,3,14,26,0.5384615384615384
8,mRMR,2,4,15,25,0.6
8,mRMR,2,5,13,27,0.48148148148148145
8,mRMR,3,4,17,23,0.7391304347826086
8,mRMR,3,5,14,26,0.5384615384615384
8,mRMR,4,5,14,26,0.5384615384615384
9,DEG-only,1,2,17,23,0.7391304347826086
9,DEG-only,1,3,19,21,0.9047619047619048
9,DEG-only,1,4,18,22,0.8181818181818182
9,DEG-only,1,5,18,22,0.8181818181818182
9,DEG-only,2,3,18,22,0.8181818181818182
9,DEG-only,2,4,18,22,0.8181818181818182
9,DEG-only,2,5,17,23,0.7391304347826086
9,DEG-only,3,4,19,21,0.9047619047619048
9,DEG-only,3,5,18,22,0.8181818181818182
9,DEG-only,4,5,17,23,0.7391304347826086
9,LASSO,1,2,12,28,0.42857142857142855
9,LASSO,1,3,12,28,0.42857142857142855
9,LASSO,1,4,13,27,0.48148148148148145
9,LASSO,1,5,10,30,0.3333333333333333
9,LASSO,2,3,10,30,0.3333333333333333
9,LASSO,2,4,11,29,0.3793103448275862
9,LASSO,2,5,8,32,0.25
9,LASSO,3,4,11,29,0.3793103448275862
9,LASSO,3,5,9,31,0.2903225806451613
9,LASSO,4,5,9,31,0.2903225806451613
9,NIBFS,1,2,19,21,0.9047619047619048
9,NIBFS,1,3,19,21,0.9047619047619048
9,NIBFS,1,4,19,21,0.9047619047619048
9,NIBFS,1,5,19,21,0.9047619047619048
9,NIBFS,2,3,19,21,0.9047619047619048
9,NIBFS,2,4,19,21,0.9047619047619048
9,NIBFS,2,5,19,21,0.9047619047619048
9,NIBFS,3,4,19,21,0.9047619047619048
9,NIBFS,3,5,19,21,0.9047619047619048
9,NIBFS,4,5,19,21,0.9047619047619048
9,Stability-selection,1,2,12,28,0.42857142857142855
9,Stability-selection,1,3,12,28,0.42857142857142855
9,Stability-selection,1,4,15,25,0.6
9,Stability-selection,1,5,10,30,0.3333333333333333
9,Stability-selection,2,3,11,29,0.3793103448275862
9,Stability-selection,2,4,10,30,0.3333333333333333
