Fold,Method,k,Selection_rank,Gene
3,NIBFS,20,1,EGFR
3,NIBFS,20,2,CDK1
3,NIBFS,20,3,CCNB1
3,NIBFS,20,4,BUB1B
3,NIBFS,20,5,CDC20
3,NIBFS,20,6,EZH2
3,NIBFS,20,7,FN1
3,NIBFS,20,8,CAV1
3,NIBFS,20,9,TOP2A
3,NIBFS,20,10,STAT1
3,NIBFS,20,11,RRM2
3,NIBFS,20,12,GNAI1
3,NIBFS,20,13,KIT
3,NIBFS,20,14,CCNB2
3,NIBFS,20,15,FGF2
3,NIBFS,20,16,CCNA2
3,NIBFS,20,17,UBE2C
3,NIBFS,20,18,PPARG
3,NIBFS,20,19,GNG2
3,NIBFS,20,20,AURKA
3,DEG-only,20,1,COL11A1
3,DEG-only,20,2,COL10A1
3,DEG-only,20,3,SCARA5
3,DEG-only,20,4,ADH1B
3,DEG-only,20,5,CAVIN2
3,DEG-only,20,6,VEGFD
3,DEG-only,20,7,INHBA
3,DEG-only,20,8,CHRDL1
3,DEG-only,20,9,ABCA8
3,DEG-only,20,10,RRM2
3,DEG-only,20,11,ECRG4
3,DEG-only,20,12,CD300LG
3,DEG-only,20,13,MMP11
3,DEG-only,20,14,FMO2
3,DEG-only,20,15,NTRK2
3,DEG-only,20,16,MAMDC2
3,DEG-only,20,17,ADAMTS5
3,DEG-only,20,18,TOP2A
3,DEG-only,20,19,LPL
3,DEG-only,20,20,PLIN1
3,mRMR,20,1,COL10A1
3,mRMR,20,2,MT-ND4
3,mRMR,20,3,RPLP1
3,mRMR,20,4,TDRD12
3,mRMR,20,5,TPT1
3,mRMR,20,6,S100A7
3,mRMR,20,7,SLC28A2
3,mRMR,20,8,GPAT2
3,mRMR,20,9,RPL6
3,mRMR,20,10,LINC00662
3,mRMR,20,11,CDC20B
3,mRMR,20,12,DNAH17
3,mRMR,20,13,RPS17
3,mRMR,20,14,SPINK5
3,mRMR,20,15,CALCB
3,mRMR,20,16,LYVE1
3,mRMR,20,17,SNAP91
3,mRMR,20,18,RPS12
3,mRMR,20,19,ABHD1
3,mRMR,20,20,PPARGC1A
3,LASSO,20,1,RBMS3-AS3
3,LASSO,20,2,SEL1L2
3,LASSO,20,3,CTHRC1
3,LASSO,20,4,HPR
3,LASSO,20,5,QRICH1
3,LASSO,20,6,AADAC
3,LASSO,20,7,GSTM5
3,LASSO,20,8,CLEC4G
3,LASSO,20,9,B4GALT5
3,LASSO,20,10,SIX4
3,LASSO,20,11,NEK6
3,LASSO,20,12,CD3E
3,LASSO,20,13,ELP5
3,LASSO,20,14,TMEM143
3,LASSO,20,15,PCNX1
3,LASSO,20,16,FREY1
3,LASSO,20,17,ESRRB
3,LASSO,20,18,SAP30L
3,LASSO,20,19,CILP2
3,LASSO,20,20,TMEM105
4,NIBFS,20,1,CDK1
4,NIBFS,20,2,EGFR
4,NIBFS,20,3,CCNB1
4,NIBFS,20,4,BUB1B
4,NIBFS,20,5,CDC20
4,NIBFS,20,6,EZH2
4,NIBFS,20,7,STAT1
4,NIBFS,20,8,FN1
4,NIBFS,20,9,CAV1
4,NIBFS,20,10,TOP2A
4,NIBFS,20,11,RRM2
4,NIBFS,20,12,PPARG
4,NIBFS,20,13,GNAI1
4,NIBFS,20,14,CCNB2
4,NIBFS,20,15,FOS
4,NIBFS,20,16,CCNA2
4,NIBFS,20,17,UBE2C
4,NIBFS,20,18,FGF2
4,NIBFS,20,19,KIT
4,NIBFS,20,20,MAD2L1
4,DEG-only,20,1,COL11A1
4,DEG-only,20,2,COL10A1
4,DEG-only,20,3,SCARA5
4,DEG-only,20,4,ADH1B
4,DEG-only,20,5,CAVIN2
4,DEG-only,20,6,INHBA
4,DEG-only,20,7,VEGFD
4,DEG-only,20,8,ABCA8
4,DEG-only,20,9,CHRDL1
4,DEG-only,20,10,RRM2
4,DEG-only,20,11,CD300LG
4,DEG-only,20,12,TOP2A
4,DEG-only,20,13,ECRG4
4,DEG-only,20,14,NTRK2
4,DEG-only,20,15,FMO2
4,DEG-only,20,16,MMP11
4,DEG-only,20,17,MAMDC2
4,DEG-only,20,18,ADAMTS5
4,DEG-only,20,19,CFD
4,DEG-only,20,20,PCLAF
4,mRMR,20,1,RPL32
4,mRMR,20,2,KLHL31
4,mRMR,20,3,MRFAP1
4,mRMR,20,4,TPT1
4,mRMR,20,5,TRIM55
4,mRMR,20,6,MT-ND4
4,mRMR,20,7,GSC
4,mRMR,20,8,COL10A1
4,mRMR,20,9,RPLP1
4,mRMR,20,10,MYL1
4,mRMR,20,11,HAO2
4,mRMR,20,12,TDRD12
4,mRMR,20,13,ETNPPL
