Method,k,Mean_Jaccard,SD_Jaccard,Min_Jaccard,Max_Jaccard,Genes_in_all_5_folds,Genes_in_at_least_4_folds
NIBFS,20,0.8883116883116884,0.0566201110213565,0.8181818181818182,1.0,18,19
DEG-only,20,0.7119631093544136,0.06898795302504376,0.6,0.8181818181818182,14,17
mRMR,20,0.22248392025431868,0.06426128176287127,0.14285714285714285,0.3333333333333333,3,7
LASSO,20,0.18787001287001287,0.07765640260441473,0.08108108108108109,0.3333333333333333,2,5
