Repeat,Fold,Method,k,Selection_rank,Gene
1,2,DEG-only,20,6,VEGFD
1,2,DEG-only,20,7,ABCA8
1,2,DEG-only,20,8,CHRDL1
1,2,DEG-only,20,9,RRM2
1,2,DEG-only,20,10,INHBA
1,2,DEG-only,20,11,CD300LG
1,2,DEG-only,20,12,FMO2
1,2,DEG-only,20,13,ECRG4
1,2,DEG-only,20,14,TOP2A
1,2,DEG-only,20,15,NTRK2
1,2,DEG-only,20,16,ADAMTS5
1,2,DEG-only,20,17,PCLAF
1,2,DEG-only,20,18,PLIN1
1,2,DEG-only,20,19,LEP
1,2,DEG-only,20,20,CD36
1,2,LASSO,20,1,SEL1L2
1,2,LASSO,20,2,AADAC
1,2,LASSO,20,3,CTHRC1
1,2,LASSO,20,4,GSTM5
1,2,LASSO,20,5,CCDC141
1,2,LASSO,20,6,RBMS3-AS3
1,2,LASSO,20,7,PCNX1
1,2,LASSO,20,8,OTUD7A
1,2,LASSO,20,9,CLEC4G
1,2,LASSO,20,10,SEPTIN14P20
1,2,LASSO,20,11,QRICH1
1,2,LASSO,20,12,DGKI
1,2,LASSO,20,13,HPR
1,2,LASSO,20,14,BOLA3-DT
1,2,LASSO,20,15,TMEM263
1,2,LASSO,20,16,B4GALT5
1,2,LASSO,20,17,MMP9
1,2,LASSO,20,18,IGFBP1
1,2,LASSO,20,19,TP53AIP1
1,2,LASSO,20,20,SNX19
1,2,NIBFS,20,1,CDK1
1,2,NIBFS,20,2,EGFR
1,2,NIBFS,20,3,CCNB1
1,2,NIBFS,20,4,BUB1B
1,2,NIBFS,20,5,CDC20
1,2,NIBFS,20,6,FN1
1,2,NIBFS,20,7,STAT1
1,2,NIBFS,20,8,EZH2
1,2,NIBFS,20,9,CAV1
1,2,NIBFS,20,10,TOP2A
1,2,NIBFS,20,11,GNAI1
1,2,NIBFS,20,12,RRM2
1,2,NIBFS,20,13,PPARG
1,2,NIBFS,20,14,CCNB2
1,2,NIBFS,20,15,UBE2C
1,2,NIBFS,20,16,FGF2
1,2,NIBFS,20,17,KIT
1,2,NIBFS,20,18,CCNA2
1,2,NIBFS,20,19,GNG2
1,2,NIBFS,20,20,MAD2L1
1,2,mRMR,20,1,COL10A1
1,2,mRMR,20,2,RPS15
1,2,mRMR,20,3,MT-ND4
1,2,mRMR,20,4,UBB
1,2,mRMR,20,5,ART3
1,2,mRMR,20,6,RPS12
1,2,mRMR,20,7,S100A7
1,2,mRMR,20,8,SNAP91
1,2,mRMR,20,9,SEL1L2
1,2,mRMR,20,10,RPLP1
1,2,mRMR,20,11,FAM9C
1,2,mRMR,20,12,RPL32
1,2,mRMR,20,13,C7ORF57
1,2,mRMR,20,14,TDRD12
1,2,mRMR,20,15,VEGFD
1,2,mRMR,20,16,TSPAN8
1,2,mRMR,20,17,KRT13
1,2,mRMR,20,18,NOVA1
1,2,mRMR,20,19,RPL6
1,2,mRMR,20,20,ECEL1
1,3,DEG-only,20,1,COL11A1
1,3,DEG-only,20,2,COL10A1
1,3,DEG-only,20,3,SCARA5
1,3,DEG-only,20,4,ADH1B
1,3,DEG-only,20,5,CAVIN2
1,3,DEG-only,20,6,VEGFD
1,3,DEG-only,20,7,INHBA
1,3,DEG-only,20,8,CHRDL1
1,3,DEG-only,20,9,ABCA8
1,3,DEG-only,20,10,RRM2
1,3,DEG-only,20,11,ECRG4
1,3,DEG-only,20,12,CD300LG
1,3,DEG-only,20,13,MMP11
1,3,DEG-only,20,14,FMO2
1,3,DEG-only,20,15,NTRK2
1,3,DEG-only,20,16,MAMDC2
1,3,DEG-only,20,17,ADAMTS5
1,3,DEG-only,20,18,TOP2A
1,3,DEG-only,20,19,LPL
1,3,DEG-only,20,20,PLIN1
1,3,LASSO,20,1,RBMS3-AS3
1,3,LASSO,20,2,SEL1L2
1,3,LASSO,20,3,CTHRC1
1,3,LASSO,20,4,HPR
1,3,LASSO,20,5,QRICH1
1,3,LASSO,20,6,AADAC
1,3,LASSO,20,7,GSTM5
1,3,LASSO,20,8,CLEC4G
1,3,LASSO,20,9,B4GALT5
1,3,LASSO,20,10,SIX4
1,3,LASSO,20,11,NEK6
1,3,LASSO,20,12,CD3E
1,3,LASSO,20,13,ELP5
1,3,LASSO,20,14,TMEM143
1,3,LASSO,20,15,PCNX1
1,3,LASSO,20,16,FREY1
1,3,LASSO,20,17,ESRRB
1,3,LASSO,20,18,SAP30L
1,3,LASSO,20,19,CILP2
1,3,LASSO,20,20,TMEM105
1,3,NIBFS,20,1,EGFR
1,3,NIBFS,20,2,CDK1
1,3,NIBFS,20,3,CCNB1
1,3,NIBFS,20,4,BUB1B
1,3,NIBFS,20,5,CDC20
1,3,NIBFS,20,6,EZH2
1,3,NIBFS,20,7,FN1
1,3,NIBFS,20,8,CAV1
1,3,NIBFS,20,9,TOP2A
1,3,NIBFS,20,10,STAT1
1,3,NIBFS,20,11,RRM2
1,3,NIBFS,20,12,GNAI1
1,3,NIBFS,20,13,KIT
1,3,NIBFS,20,14,CCNB2
1,3,NIBFS,20,15,FGF2
1,3,NIBFS,20,16,CCNA2
1,3,NIBFS,20,17,UBE2C
1,3,NIBFS,20,18,PPARG
1,3,NIBFS,20,19,GNG2
1,3,NIBFS,20,20,AURKA
1,3,mRMR,20,1,COL10A1
1,3,mRMR,20,2,MT-ND4
1,3,mRMR,20,3,RPLP1
1,3,mRMR,20,4,TDRD12
1,3,mRMR,20,5,TPT1
1,3,mRMR,20,6,S100A7
1,3,mRMR,20,7,SLC28A2
1,3,mRMR,20,8,GPAT2
1,3,mRMR,20,9,RPL6
1,3,mRMR,20,10,LINC00662
1,3,mRMR,20,11,CDC20B
1,3,mRMR,20,12,DNAH17
1,3,mRMR,20,13,RPS17
1,3,mRMR,20,14,SPINK5
1,3,mRMR,20,15,CALCB
1,3,mRMR,20,16,LYVE1
1,3,mRMR,20,17,SNAP91
1,3,mRMR,20,18,RPS12
1,3,mRMR,20,19,ABHD1
1,3,mRMR,20,20,PPARGC1A
1,4,DEG-only,20,1,COL11A1
1,4,DEG-only,20,2,COL10A1
1,4,DEG-only,20,3,SCARA5
1,4,DEG-only,20,4,ADH1B
1,4,DEG-only,20,5,CAVIN2
1,4,DEG-only,20,6,INHBA
1,4,DEG-only,20,7,VEGFD
1,4,DEG-only,20,8,ABCA8
1,4,DEG-only,20,9,CHRDL1
1,4,DEG-only,20,10,RRM2
1,4,DEG-only,20,11,CD300LG
1,4,DEG-only,20,12,TOP2A
1,4,DEG-only,20,13,ECRG4
1,4,DEG-only,20,14,NTRK2
1,4,DEG-only,20,15,FMO2
1,4,DEG-only,20,16,MMP11
1,4,DEG-only,20,17,MAMDC2
1,4,DEG-only,20,18,ADAMTS5
1,4,DEG-only,20,19,CFD
1,4,DEG-only,20,20,PCLAF
1,4,LASSO,20,1,PPBP
1,4,LASSO,20,2,SIGLEC16
1,4,LASSO,20,3,HPR
1,4,LASSO,20,4,RBMS3-AS3
1,4,LASSO,20,5,HPS6
1,4,LASSO,20,6,MST1L
1,4,LASSO,20,7,QRICH1
1,4,LASSO,20,8,PCCB
1,4,LASSO,20,9,OTUD7A
1,4,LASSO,20,10,CTHRC1
1,4,LASSO,20,11,CLEC4G
1,4,LASSO,20,12,RBMS1
1,4,LASSO,20,13,CCDC141
1,4,LASSO,20,14,GSTM5
1,4,LASSO,20,15,ESRRB
1,4,LASSO,20,16,NUCLEOLIN
1,4,LASSO,20,17,CLCN5
1,4,LASSO,20,18,SPTLC1
1,4,LASSO,20,19,INHBA
1,4,LASSO,20,20,CILP2
1,4,NIBFS,20,1,CDK1
1,4,NIBFS,20,2,EGFR
1,4,NIBFS,20,3,CCNB1
1,4,NIBFS,20,4,BUB1B
1,4,NIBFS,20,5,CDC20
1,4,NIBFS,20,6,EZH2
1,4,NIBFS,20,7,STAT1
1,4,NIBFS,20,8,FN1
1,4,NIBFS,20,9,CAV1
1,4,NIBFS,20,10,TOP2A
1,4,NIBFS,20,11,RRM2
1,4,NIBFS,20,12,PPARG
1,4,NIBFS,20,13,GNAI1
1,4,NIBFS,20,14,CCNB2
1,4,NIBFS,20,15,FOS
1,4,NIBFS,20,16,CCNA2
1,4,NIBFS,20,17,UBE2C
1,4,NIBFS,20,18,FGF2
1,4,NIBFS,20,19,KIT
1,4,NIBFS,20,20,MAD2L1
1,4,mRMR,20,1,RPL32
1,4,mRMR,20,2,KLHL31
1,4,mRMR,20,3,MRFAP1
1,4,mRMR,20,4,TPT1
1,4,mRMR,20,5,TRIM55
1,4,mRMR,20,6,MT-ND4
1,4,mRMR,20,7,GSC
1,4,mRMR,20,8,COL10A1
1,4,mRMR,20,9,RPLP1
1,4,mRMR,20,10,MYL1
1,4,mRMR,20,11,HAO2
1,4,mRMR,20,12,TDRD12
1,4,mRMR,20,13,ETNPPL
1,4,mRMR,20,14,ANKRD35
1,4,mRMR,20,15,RPS15
1,4,mRMR,20,16,COL9A1
1,4,mRMR,20,17,SEMA6A
1,4,mRMR,20,18,RALYL
1,4,mRMR,20,19,MASP1
1,4,mRMR,20,20,CDH12
1,5,DEG-only,20,1,COL10A1
1,5,DEG-only,20,2,COL11A1
1,5,DEG-only,20,3,SCARA5
1,5,DEG-only,20,4,CAVIN2
1,5,DEG-only,20,5,ADH1B
1,5,DEG-only,20,6,VEGFD
1,5,DEG-only,20,7,ABCA8
1,5,DEG-only,20,8,INHBA
1,5,DEG-only,20,9,CHRDL1
1,5,DEG-only,20,10,CD300LG
1,5,DEG-only,20,11,NTRK2
1,5,DEG-only,20,12,ECRG4
1,5,DEG-only,20,13,RRM2
1,5,DEG-only,20,14,MMP11
1,5,DEG-only,20,15,ADAMTS5
1,5,DEG-only,20,16,MME
1,5,DEG-only,20,17,ITIH5
1,5,DEG-only,20,18,LPL
1,5,DEG-only,20,19,FMO2
1,5,DEG-only,20,20,EBF1
1,5,LASSO,20,1,CTHRC1
1,5,LASSO,20,2,SEL1L2
1,5,LASSO,20,3,GSTM5
1,5,LASSO,20,4,SNX19
1,5,LASSO,20,5,CCDC141
1,5,LASSO,20,6,RPS12
1,5,LASSO,20,7,OTUD7A
1,5,LASSO,20,8,PTBP1
1,5,LASSO,20,9,IGFBP7
1,5,LASSO,20,10,CASP2
1,5,LASSO,20,11,MRI1
1,5,LASSO,20,12,SHISAL1
1,5,LASSO,20,13,AKAP19
1,5,LASSO,20,14,IRS4
1,5,LASSO,20,15,COLCA1
1,5,LASSO,20,16,AADAC
1,5,LASSO,20,17,CAMKK2
1,5,LASSO,20,18,CLEC4G
1,5,LASSO,20,19,CA7
1,5,LASSO,20,20,SCN2B
1,5,NIBFS,20,1,CDK1
1,5,NIBFS,20,2,EGFR
1,5,NIBFS,20,3,CCNB1
1,5,NIBFS,20,4,CDC20
1,5,NIBFS,20,5,BUB1B
1,5,NIBFS,20,6,STAT1
1,5,NIBFS,20,7,FN1
1,5,NIBFS,20,8,GNAI1
1,5,NIBFS,20,9,CAV1
1,5,NIBFS,20,10,EZH2
1,5,NIBFS,20,11,TOP2A
1,5,NIBFS,20,12,RRM2
1,5,NIBFS,20,13,PPARG
1,5,NIBFS,20,14,CCNA2
1,5,NIBFS,20,15,FGF2
1,5,NIBFS,20,16,CCNB2
1,5,NIBFS,20,17,UBE2C
1,5,NIBFS,20,18,GNG2
1,5,NIBFS,20,19,KIT
1,5,NIBFS,20,20,IGF1
1,5,mRMR,20,1,COL10A1
1,5,mRMR,20,2,MT-ND4
1,5,mRMR,20,3,UBB
1,5,mRMR,20,4,RPS15
1,5,mRMR,20,5,TPT1
1,5,mRMR,20,6,C7ORF57
1,5,mRMR,20,7,ACTL6B
1,5,mRMR,20,8,PRAME
1,5,mRMR,20,9,POU3F3
1,5,mRMR,20,10,SCGB3A2
1,5,mRMR,20,11,RPS12
1,5,mRMR,20,12,GLYAT
1,5,mRMR,20,13,ETNPPL
1,5,mRMR,20,14,RPL32
1,5,mRMR,20,15,TDRD12
1,5,mRMR,20,16,ITIH2
1,5,mRMR,20,17,VDAC2
1,5,mRMR,20,18,RPL6
1,5,mRMR,20,19,TCAF2
1,5,mRMR,20,20,GNG4
2,1,DEG-only,20,1,COL11A1
2,1,DEG-only,20,2,COL10A1
2,1,DEG-only,20,3,SCARA5
2,1,DEG-only,20,4,ADH1B
2,1,DEG-only,20,5,CAVIN2
2,1,DEG-only,20,6,INHBA
2,1,DEG-only,20,7,ABCA8
2,1,DEG-only,20,8,VEGFD
2,1,DEG-only,20,9,CHRDL1
2,1,DEG-only,20,10,CD300LG
2,1,DEG-only,20,11,RRM2
2,1,DEG-only,20,12,FMO2
2,1,DEG-only,20,13,MMP11
2,1,DEG-only,20,14,LEP
2,1,DEG-only,20,15,ADAMTS5
2,1,DEG-only,20,16,LPL
2,1,DEG-only,20,17,ECRG4
2,1,DEG-only,20,18,MATN2
2,1,DEG-only,20,19,NTRK2
2,1,DEG-only,20,20,LIFR
2,1,LASSO,20,1,CTHRC1
2,1,LASSO,20,2,RBMS3-AS3
2,1,LASSO,20,3,PCNX1
2,1,LASSO,20,4,CCDC141
2,1,LASSO,20,5,QRICH1
2,1,LASSO,20,6,ADGRD2
2,1,LASSO,20,7,GSTM5
2,1,LASSO,20,8,SEL1L2
2,1,LASSO,20,9,PCCB
2,1,LASSO,20,10,SNX19
2,1,LASSO,20,11,STXBP3
2,1,LASSO,20,12,OTUD7A
2,1,LASSO,20,13,MST1L
2,1,LASSO,20,14,HNF1A
2,1,LASSO,20,15,EFHB
2,1,LASSO,20,16,CLEC4G
2,1,LASSO,20,17,COL11A1
2,1,LASSO,20,18,HNRNPC
2,1,LASSO,20,19,NRDE2
2,1,LASSO,20,20,FOXD1
2,1,NIBFS,20,1,EGFR
2,1,NIBFS,20,2,CDK1
2,1,NIBFS,20,3,CCNB1
2,1,NIBFS,20,4,FN1
2,1,NIBFS,20,5,CDC20
2,1,NIBFS,20,6,BUB1B
2,1,NIBFS,20,7,EZH2
2,1,NIBFS,20,8,CAV1
2,1,NIBFS,20,9,STAT1
2,1,NIBFS,20,10,TOP2A
2,1,NIBFS,20,11,RRM2
2,1,NIBFS,20,12,PPARG
2,1,NIBFS,20,13,GNAI1
2,1,NIBFS,20,14,FGF2
2,1,NIBFS,20,15,GNG2
2,1,NIBFS,20,16,UBE2C
2,1,NIBFS,20,17,KIT
2,1,NIBFS,20,18,CCNB2
2,1,NIBFS,20,19,FOXO1
2,1,NIBFS,20,20,FOS
2,1,mRMR,20,1,COL10A1
2,1,mRMR,20,2,MT-ND4
2,1,mRMR,20,3,RPS15
2,1,mRMR,20,4,UBB
2,1,mRMR,20,5,TPT1
2,1,mRMR,20,6,FGF1
2,1,mRMR,20,7,SLC6A4
2,1,mRMR,20,8,G6PC1
2,1,mRMR,20,9,ANLN
2,1,mRMR,20,10,RPLP1
2,1,mRMR,20,11,PYY
2,1,mRMR,20,12,TPRG1
2,1,mRMR,20,13,RPL32
2,1,mRMR,20,14,SCGB3A2
2,1,mRMR,20,15,HOTAIR
2,1,mRMR,20,16,MRFAP1
2,1,mRMR,20,17,ROBO2
2,1,mRMR,20,18,CETP
2,1,mRMR,20,19,SEMA6A
2,1,mRMR,20,20,CRYBA2
2,2,DEG-only,20,1,COL11A1
2,2,DEG-only,20,2,COL10A1
2,2,DEG-only,20,3,SCARA5
2,2,DEG-only,20,4,CAVIN2
2,2,DEG-only,20,5,ADH1B
2,2,DEG-only,20,6,VEGFD
2,2,DEG-only,20,7,RRM2
2,2,DEG-only,20,8,CHRDL1
2,2,DEG-only,20,9,ABCA8
2,2,DEG-only,20,10,INHBA
2,2,DEG-only,20,11,CD300LG
2,2,DEG-only,20,12,ECRG4
2,2,DEG-only,20,13,MMP11
2,2,DEG-only,20,14,TOP2A
2,2,DEG-only,20,15,NTRK2
2,2,DEG-only,20,16,ADAMTS5
2,2,DEG-only,20,17,RBP4
2,2,DEG-only,20,18,LEP
2,2,DEG-only,20,19,PLIN1
2,2,DEG-only,20,20,LPL
2,2,LASSO,20,1,GSTM5
2,2,LASSO,20,2,SEL1L2
2,2,LASSO,20,3,CTHRC1
2,2,LASSO,20,4,RBMS3-AS3
2,2,LASSO,20,5,OTUD7A
2,2,LASSO,20,6,SAP30L
2,2,LASSO,20,7,SEPTIN14P20
2,2,LASSO,20,8,CCDC141
2,2,LASSO,20,9,CLEC4G
2,2,LASSO,20,10,FGFBP1
2,2,LASSO,20,11,HTR1F
2,2,LASSO,20,12,QRICH1
2,2,LASSO,20,13,CD34
2,2,LASSO,20,14,B4GALT5
2,2,LASSO,20,15,SNORC
2,2,LASSO,20,16,TNNT1
2,2,LASSO,20,17,CCN4
2,2,LASSO,20,18,AADAC
2,2,LASSO,20,19,ITGBL1
2,2,LASSO,20,20,RFX5-AS1
2,2,NIBFS,20,1,CDK1
2,2,NIBFS,20,2,EGFR
2,2,NIBFS,20,3,CCNB1
2,2,NIBFS,20,4,BUB1B
2,2,NIBFS,20,5,FN1
2,2,NIBFS,20,6,CDC20
2,2,NIBFS,20,7,EZH2
2,2,NIBFS,20,8,CAV1
2,2,NIBFS,20,9,GNAI1
2,2,NIBFS,20,10,TOP2A
2,2,NIBFS,20,11,STAT1
2,2,NIBFS,20,12,PPARG
2,2,NIBFS,20,13,RRM2
2,2,NIBFS,20,14,CCNA2
2,2,NIBFS,20,15,CCNB2
2,2,NIBFS,20,16,FGF2
2,2,NIBFS,20,17,UBE2C
2,2,NIBFS,20,18,GNG2
2,2,NIBFS,20,19,MAD2L1
2,2,NIBFS,20,20,KIT
2,2,mRMR,20,1,COL10A1
2,2,mRMR,20,2,RPS15
2,2,mRMR,20,3,MT-ND4
2,2,mRMR,20,4,UBB
2,2,mRMR,20,5,TPT1
2,2,mRMR,20,6,H4C8
2,2,mRMR,20,7,MYL2
2,2,mRMR,20,8,RPLP1
2,2,mRMR,20,9,UPK3A
2,2,mRMR,20,10,S100A7
2,2,mRMR,20,11,HOXB-AS3
2,2,mRMR,20,12,TDRD12
2,2,mRMR,20,13,RPS12
2,2,mRMR,20,14,MAGEA12
2,2,mRMR,20,15,NKX2-2
2,2,mRMR,20,16,RPL32
2,2,mRMR,20,17,GLYAT
2,2,mRMR,20,18,LSAMP-AS1
2,2,mRMR,20,19,SCGB3A2
2,2,mRMR,20,20,CRISP1
2,3,DEG-only,20,1,COL11A1
2,3,DEG-only,20,2,COL10A1
2,3,DEG-only,20,3,SCARA5
2,3,DEG-only,20,4,VEGFD
2,3,DEG-only,20,5,ADH1B
2,3,DEG-only,20,6,CAVIN2
2,3,DEG-only,20,7,ABCA8
2,3,DEG-only,20,8,CHRDL1
2,3,DEG-only,20,9,INHBA
2,3,DEG-only,20,10,RRM2
2,3,DEG-only,20,11,ECRG4
2,3,DEG-only,20,12,FMO2
2,3,DEG-only,20,13,CD300LG
2,3,DEG-only,20,14,NTRK2
2,3,DEG-only,20,15,TOP2A
2,3,DEG-only,20,16,MAMDC2
2,3,DEG-only,20,17,ADAMTS5
2,3,DEG-only,20,18,MMP11
2,3,DEG-only,20,19,CFD
2,3,DEG-only,20,20,MATN2
2,3,LASSO,20,1,SEL1L2
2,3,LASSO,20,2,HPR
2,3,LASSO,20,3,CTHRC1
2,3,LASSO,20,4,TP53AIP1
2,3,LASSO,20,5,COL10A1
2,3,LASSO,20,6,LINC00852
2,3,LASSO,20,7,CILP2
2,3,LASSO,20,8,SCG2
2,3,LASSO,20,9,B4GALT5
2,3,LASSO,20,10,SYN2
2,3,LASSO,20,11,CRHR1
2,3,LASSO,20,12,IL1F10
2,3,LASSO,20,13,METTL5
2,3,LASSO,20,14,QRICH1
2,3,LASSO,20,15,CAPN14
2,3,LASSO,20,16,NT5DC3
2,3,LASSO,20,17,LINC00304
2,3,LASSO,20,18,PTBP1
2,3,LASSO,20,19,PINLYP
2,3,LASSO,20,20,VEGFD
2,3,NIBFS,20,1,CDK1
2,3,NIBFS,20,2,EGFR
2,3,NIBFS,20,3,CCNB1
2,3,NIBFS,20,4,BUB1B
2,3,NIBFS,20,5,EZH2
2,3,NIBFS,20,6,CDC20
2,3,NIBFS,20,7,FN1
2,3,NIBFS,20,8,CAV1
2,3,NIBFS,20,9,TOP2A
2,3,NIBFS,20,10,STAT1
2,3,NIBFS,20,11,RRM2
2,3,NIBFS,20,12,GNAI1
2,3,NIBFS,20,13,KIT
2,3,NIBFS,20,14,CCNA2
2,3,NIBFS,20,15,CCNB2
2,3,NIBFS,20,16,UBE2C
2,3,NIBFS,20,17,PPARG
2,3,NIBFS,20,18,IGF1
2,3,NIBFS,20,19,FGF2
2,3,NIBFS,20,20,MAD2L1
2,3,mRMR,20,1,COL10A1
2,3,mRMR,20,2,MT-ND4
2,3,mRMR,20,3,RPLP1
2,3,mRMR,20,4,TDRD12
2,3,mRMR,20,5,VEGFD
2,3,mRMR,20,6,ALPP
2,3,mRMR,20,7,RPS12
2,3,mRMR,20,8,GNG4
2,3,mRMR,20,9,S100A7
2,3,mRMR,20,10,FLG2
2,3,mRMR,20,11,RPL6
2,3,mRMR,20,12,NOVA1
2,3,mRMR,20,13,TMCC2
2,3,mRMR,20,14,TNNC1
2,3,mRMR,20,15,TPT1
2,3,mRMR,20,16,ITIH2
2,3,mRMR,20,17,C7ORF57
2,3,mRMR,20,18,RPS15
2,3,mRMR,20,19,GUCY1B2
2,3,mRMR,20,20,MSMB
2,4,DEG-only,20,1,COL10A1
2,4,DEG-only,20,2,COL11A1
2,4,DEG-only,20,3,SCARA5
2,4,DEG-only,20,4,ADH1B
2,4,DEG-only,20,5,CAVIN2
2,4,DEG-only,20,6,VEGFD
2,4,DEG-only,20,7,ABCA8
2,4,DEG-only,20,8,CHRDL1
2,4,DEG-only,20,9,INHBA
2,4,DEG-only,20,10,CD300LG
2,4,DEG-only,20,11,ECRG4
2,4,DEG-only,20,12,TOP2A
2,4,DEG-only,20,13,RRM2
2,4,DEG-only,20,14,MMP11
2,4,DEG-only,20,15,ADAMTS5
2,4,DEG-only,20,16,FMO2
2,4,DEG-only,20,17,NTRK2
2,4,DEG-only,20,18,ITIH5
2,4,DEG-only,20,19,MME
2,4,DEG-only,20,20,MAMDC2
2,4,LASSO,20,1,CLEC4G
2,4,LASSO,20,2,SEL1L2
2,4,LASSO,20,3,RBMS3-AS3
2,4,LASSO,20,4,AADAC
2,4,LASSO,20,5,GSTM5
2,4,LASSO,20,6,OTUD7A
2,4,LASSO,20,7,CCDC141
2,4,LASSO,20,8,DYNC2H1
2,4,LASSO,20,9,PCNX1
2,4,LASSO,20,10,CLCN5
2,4,LASSO,20,11,CNP
2,4,LASSO,20,12,PPBP
2,4,LASSO,20,13,XIAP
2,4,LASSO,20,14,RBMS1
2,4,LASSO,20,15,RIC3
2,4,LASSO,20,16,QRICH1
2,4,LASSO,20,17,DCLK2
2,4,LASSO,20,18,SNX19
2,4,LASSO,20,19,IGFBP7
2,4,LASSO,20,20,DDX42
2,4,NIBFS,20,1,CDK1
2,4,NIBFS,20,2,EGFR
2,4,NIBFS,20,3,CCNB1
2,4,NIBFS,20,4,CDC20
2,4,NIBFS,20,5,BUB1B
2,4,NIBFS,20,6,FN1
2,4,NIBFS,20,7,EZH2
2,4,NIBFS,20,8,STAT1
2,4,NIBFS,20,9,CAV1
2,4,NIBFS,20,10,TOP2A
2,4,NIBFS,20,11,GNAI1
2,4,NIBFS,20,12,RRM2
2,4,NIBFS,20,13,PPARG
2,4,NIBFS,20,14,FGF2
2,4,NIBFS,20,15,KIT
2,4,NIBFS,20,16,UBE2C
2,4,NIBFS,20,17,CCNB2
2,4,NIBFS,20,18,GNG2
2,4,NIBFS,20,19,IGF1
2,4,NIBFS,20,20,FOXO1
2,4,mRMR,20,1,COL10A1
2,4,mRMR,20,2,RPS15
2,4,mRMR,20,3,MT-ND4
2,4,mRMR,20,4,UBB
2,4,mRMR,20,5,ABCA4
2,4,mRMR,20,6,RPS12
2,4,mRMR,20,7,S100A7
2,4,mRMR,20,8,TDRD12
2,4,mRMR,20,9,TPT1
2,4,mRMR,20,10,REPS2
2,4,mRMR,20,11,CSRP3
2,4,mRMR,20,12,NFE4
2,4,mRMR,20,13,RPL32
2,4,mRMR,20,14,CCBE1
2,4,mRMR,20,15,LINC00470
2,4,mRMR,20,16,PABPC1
2,4,mRMR,20,17,RPL6
2,4,mRMR,20,18,MAGEA6
2,4,mRMR,20,19,SPATA4
2,4,mRMR,20,20,RPS19
2,5,DEG-only,20,1,COL11A1
2,5,DEG-only,20,2,SCARA5
2,5,DEG-only,20,3,COL10A1
