Method,Mean_Jaccard,SD_between_repeats,Median_Jaccard,Minimum_repeat_mean,Maximum_repeat_mean,Nogueira_stability
NIBFS,0.8442348955392435,0.038484227638903114,0.844908714473932,0.7887257669866365,0.8883116883116884,0.9189058139534884
DEG-only,0.699153715849368,0.02670731507562168,0.7119631093544136,0.6598407389711738,0.7266139657444006,0.8323052325581395
mRMR,0.23663516432966145,0.016902050942253704,0.22885646927392655,0.22248392025431868,0.2628543499511241,0.39246104651162794
LASSO,0.20413148010960508,0.025257526213842564,0.2097636420114612,0.1703117938412056,0.23422955040602095,0.3645953488372091
