Repeat,Fold,Method,Classifier,k,ROC_AUC,PR_AUC,Accuracy,Balanced_accuracy,Sensitivity,Specificity,Precision,F1,MCC,Brier_score
3,2,NIBFS,LR,20,0.8717741935483871,0.8850062827214935,0.819672131147541,0.8204301075268817,0.7741935483870968,0.8666666666666667,0.8571428571428571,0.8135593220338984,0.6429375631761639,0.13908982894634303
3,2,NIBFS,LightGBM,20,0.935752688172043,0.9432584820652972,0.8360655737704918,0.8362903225806452,0.8225806451612904,0.85,0.85,0.8360655737704918,0.6725806451612903,0.12121410812057157
3,2,NIBFS,RF,20,0.9220430107526881,0.9368693161566347,0.860655737704918,0.8610215053763441,0.8387096774193549,0.8833333333333333,0.8813559322033898,0.859504132231405,0.7223343333430178,0.1112284918032787
3,2,mRMR,LR,20,0.8389784946236559,0.8569280574299281,0.7295081967213115,0.7290322580645161,0.7580645161290323,0.7,0.7230769230769231,0.7401574803149606,0.45899083561127213,0.16454339618249772
3,2,mRMR,LightGBM,20,0.9405913978494624,0.951372046277956,0.8688524590163934,0.8688172043010753,0.8709677419354839,0.8666666666666667,0.8709677419354839,0.8709677419354839,0.7376344086021506,0.110515430325117
3,2,mRMR,RF,20,0.9379032258064517,0.9418096995549896,0.8852459016393442,0.8849462365591398,0.9032258064516129,0.8666666666666667,0.875,0.8888888888888888,0.7707216521126317,0.10042554098360655
3,3,DEG-only,LR,20,0.8403225806451613,0.85565552121856,0.7377049180327869,0.7381720430107528,0.7096774193548387,0.7666666666666667,0.7586206896551724,0.7333333333333333,0.4768571115724802,0.16535475364980987
3,3,DEG-only,LightGBM,20,0.9217741935483872,0.928556008374829,0.860655737704918,0.8610215053763441,0.8387096774193549,0.8833333333333333,0.8813559322033898,0.859504132231405,0.7223343333430178,0.12064930858548682
3,3,DEG-only,RF,20,0.9247311827956989,0.9388638612024054,0.8524590163934426,0.8524193548387097,0.8548387096774194,0.85,0.8548387096774194,0.8548387096774194,0.7048387096774194,0.11228918032786889
3,3,LASSO,LR,20,0.8244623655913978,0.8402549057850666,0.7540983606557377,0.7545698924731183,0.7258064516129032,0.7833333333333333,0.7758620689655172,0.75,0.5096881316694568,0.1795606627741696
3,3,LASSO,LightGBM,20,0.9129032258064516,0.9256869395736607,0.8278688524590164,0.8282258064516128,0.8064516129032258,0.85,0.847457627118644,0.8264462809917356,0.6567164713416416,0.1335507080174864
3,3,LASSO,RF,20,0.9111559139784946,0.9248132881403817,0.8278688524590164,0.8282258064516128,0.8064516129032258,0.85,0.847457627118644,0.8264462809917356,0.6567164713416416,0.12807573770491804
3,3,NIBFS,LR,20,0.814516129032258,0.8238350155829426,0.7213114754098361,0.7206989247311828,0.7580645161290323,0.6833333333333333,0.7121212121212122,0.734375,0.44282864040908604,0.1833177552355845
3,3,NIBFS,LightGBM,20,0.9424731182795699,0.9500009888920861,0.8524590163934426,0.8518817204301075,0.8870967741935484,0.8166666666666667,0.8333333333333334,0.859375,0.706044689763086,0.11691611492893486
3,3,NIBFS,RF,20,0.9321236559139785,0.9418836061918319,0.860655737704918,0.8602150537634409,0.8870967741935484,0.8333333333333334,0.8461538461538461,0.8661417322834646,0.721886994975475,0.11243386885245901
3,3,mRMR,LR,20,0.8236559139784947,0.8299256806390424,0.7622950819672131,0.7634408602150538,0.6935483870967742,0.8333333333333334,0.8113207547169812,0.7478260869565218,0.5314006988832324,0.17542435716680346
3,3,mRMR,LightGBM,20,0.9548387096774194,0.9618214182033591,0.8934426229508197,0.8940860215053763,0.8548387096774194,0.9333333333333333,0.9298245614035088,0.8907563025210085,0.7897659213686913,0.08932781143422343
3,3,mRMR,RF,20,0.9541666666666667,0.961799060938658,0.8770491803278688,0.8774193548387097,0.8548387096774194,0.9,0.8983050847457628,0.8760330578512396,0.7551432643437058,0.08895554098360657
3,4,DEG-only,LR,20,0.8595628415300547,0.8689145427649642,0.7768595041322314,0.7763661202185792,0.8360655737704918,0.7166666666666667,0.75,0.7906976744186046,0.5570099445778268,0.16034060380951135
3,4,DEG-only,LightGBM,20,0.9327868852459016,0.9482314655060899,0.8512396694214877,0.8509562841530054,0.8852459016393442,0.8166666666666667,0.8307692307692308,0.8571428571428571,0.7038382579830316,0.11967887252360168
3,4,DEG-only,RF,20,0.9296448087431693,0.9466455370172056,0.8264462809917356,0.8263661202185792,0.8360655737704918,0.8166666666666667,0.8225806451612904,0.8292682926829268,0.6529106557036959,0.10760538842975206
3,4,LASSO,LR,20,0.8683060109289619,0.8827351344635548,0.7768595041322314,0.7771857923497267,0.7377049180327869,0.8166666666666667,0.8035714285714286,0.7692307692307693,0.5558924972547961,0.15087446031580756
3,4,LASSO,LightGBM,20,0.960655737704918,0.9633767133449449,0.9008264462809917,0.9012295081967212,0.8524590163934426,0.95,0.9454545454545454,0.896551724137931,0.8057681397784149,0.08192623029144357
3,4,LASSO,RF,20,0.9423497267759564,0.9574499800047193,0.8925619834710744,0.8928961748633879,0.8524590163934426,0.9333333333333333,0.9285714285714286,0.8888888888888888,0.7879481626933432,0.1142922644628099
3,4,NIBFS,LR,20,0.818032786885246,0.81928178851245,0.7107438016528925,0.7112021857923497,0.6557377049180327,0.7666666666666667,0.7407407407407407,0.6956521739130435,0.42484906384602256,0.1831366631486266
3,4,NIBFS,LightGBM,20,0.9147540983606558,0.928135270296139,0.8677685950413223,0.86775956284153,0.8688524590163934,0.8666666666666667,0.8688524590163934,0.8688524590163934,0.7355191256830601,0.11703661127855328
3,4,NIBFS,RF,20,0.9040983606557377,0.9182285377936403,0.8264462809917356,0.826639344262295,0.8032786885245902,0.85,0.8448275862068966,0.8235294117647058,0.6538148221302349,0.12880436363636366
3,4,mRMR,LR,20,0.8540983606557376,0.8572504908873041,0.8016528925619835,0.8012295081967213,0.8524590163934426,0.75,0.7761194029850746,0.8125,0.6059457864039325,0.15056767591466635
3,4,mRMR,LightGBM,20,0.9882513661202186,0.9900077531021108,0.9504132231404959,0.9502732240437158,0.9672131147540983,0.9333333333333333,0.9365079365079365,0.9516129032258065,0.9012855097203071,0.04567635161428686
3,4,mRMR,RF,20,0.9773224043715847,0.9804305903536894,0.9173553719008265,0.9170765027322404,0.9508196721311475,0.8833333333333333,0.8923076923076924,0.9206349206349206,0.836441495376487,0.07754446280991735
3,5,DEG-only,LR,20,0.9346637506834335,0.9290081422256707,0.8760330578512396,0.8769819573537452,0.8387096774193549,0.9152542372881356,0.9122807017543859,0.8739495798319328,0.7549966010081026,0.10368024478788461
3,5,DEG-only,LightGBM,20,0.9789502460360853,0.9809722527668566,0.9256198347107438,0.9257791142700929,0.9193548387096774,0.9322033898305084,0.9344262295081968,0.926829268292683,0.8513255305638396,0.0649172297165351
3,5,DEG-only,RF,20,0.9785401858939311,0.9801800237332836,0.9173553719008265,0.9173045379989064,0.9193548387096774,0.9152542372881356,0.9193548387096774,0.9193548387096774,0.834609075997813,0.06440618181818182
3,5,LASSO,LR,20,0.9133406232914161,0.9111140335042973,0.859504132231405,0.859212684527064,0.8709677419354839,0.847457627118644,0.8571428571428571,0.864,0.7188184883005398,0.11228451433816494
3,5,LASSO,LightGBM,20,0.9655549480590486,0.9686044793962765,0.8842975206611571,0.8854565336249316,0.8387096774193549,0.9322033898305084,0.9285714285714286,0.8813559322033898,0.7728168203490751,0.08807692871870205
3,5,LASSO,RF,20,0.9666484417714598,0.9708178372968834,0.9008264462809917,0.9019956260251504,0.8548387096774194,0.9491525423728814,0.9464285714285714,0.8983050847457628,0.8059766910094431,0.09650694214876034
3,5,NIBFS,LR,20,0.9040459267359212,0.908598960077101,0.8181818181818182,0.817249863313286,0.8548387096774194,0.7796610169491526,0.803030303030303,0.828125,0.6369421321848174,0.125950547916028
3,5,NIBFS,LightGBM,20,0.9477856752323673,0.9543042548533751,0.8842975206611571,0.8838162930563149,0.9032258064516129,0.864406779661017,0.875,0.8888888888888888,0.7686839940648122,0.08667465121652905
3,5,NIBFS,RF,20,0.9446418808091854,0.9413488928486785,0.8925619834710744,0.8918808091853472,0.9193548387096774,0.864406779661017,0.8769230769230769,0.8976377952755905,0.7856971006882263,0.09815907438016529
3,5,mRMR,LR,20,0.890103881902679,0.9007566916225409,0.8016528925619835,0.8011208310552215,0.8225806451612904,0.7796610169491526,0.796875,0.8095238095238095,0.6030665380786259,0.1352176218384467
3,5,mRMR,LightGBM,20,0.9901585565882995,0.9920065557927562,0.9504132231404959,0.950382722799344,0.9516129032258065,0.9491525423728814,0.9516129032258065,0.9516129032258065,0.9007654455986878,0.03428395632872561
3,5,mRMR,RF,20,0.9933023510114818,0.9944615196631326,0.9669421487603306,0.9673318753417168,0.9516129032258065,0.9830508474576272,0.9833333333333333,0.9672131147540983,0.9344083431774535,0.06142704132231405
4,1,DEG-only,LR,20,0.8991935483870968,0.9074397789129863,0.8032786885245902,0.8026881720430108,0.8387096774193549,0.7666666666666667,0.7878787878787878,0.8125,0.607338671255336,0.13140287645075366
4,1,DEG-only,LightGBM,20,0.9655913978494624,0.9662053491259242,0.8934426229508197,0.8930107526881721,0.9193548387096774,0.8666666666666667,0.8769230769230769,0.8976377952755905,0.7876110348165257,0.08550440303674005
4,1,DEG-only,RF,20,0.9599462365591398,0.9615298856630025,0.8852459016393442,0.8849462365591398,0.9032258064516129,0.8666666666666667,0.875,0.8888888888888888,0.7707216521126317,0.08860114754098361
4,1,LASSO,LR,20,0.8435483870967743,0.8439290508605937,0.7540983606557377,0.7543010752688173,0.7419354838709677,0.7666666666666667,0.7666666666666667,0.7540983606557377,0.5086021505376344,0.16725837818880324
4,1,LASSO,LightGBM,20,0.9166666666666666,0.9240238244842104,0.8442622950819673,0.8446236559139786,0.8225806451612904,0.8666666666666667,0.864406779661017,0.8429752066115702,0.6895254023423296,0.13265485513875674
