Method,N_selected_panels,p,k,Nogueira_stability
NIBFS,25,17220,20,0.9189058139534884
DEG-only,25,17220,20,0.8323052325581395
mRMR,25,17220,20,0.39246104651162794
LASSO,25,17220,20,0.3645953488372091
