Repeat,Method,Fold_A,Fold_B,Jaccard,Intersection,Union
4,LASSO,1,5,0.17647058823529413,6,34
4,LASSO,2,3,0.17647058823529413,6,34
4,LASSO,2,4,0.08108108108108109,3,37
4,LASSO,2,5,0.21212121212121213,7,33
4,LASSO,3,4,0.1111111111111111,4,36
4,LASSO,3,5,0.17647058823529413,6,34
4,LASSO,4,5,0.08108108108108109,3,37
4,NIBFS,1,2,0.9047619047619048,19,21
4,NIBFS,1,3,0.8181818181818182,18,22
4,NIBFS,1,4,0.8181818181818182,18,22
4,NIBFS,1,5,0.9047619047619048,19,21
4,NIBFS,2,3,0.9047619047619048,19,21
4,NIBFS,2,4,0.9047619047619048,19,21
4,NIBFS,2,5,0.9047619047619048,19,21
4,NIBFS,3,4,0.9047619047619048,19,21
4,NIBFS,3,5,0.8181818181818182,18,22
4,NIBFS,4,5,0.8181818181818182,18,22
4,mRMR,1,2,0.25,8,32
4,mRMR,1,3,0.17647058823529413,6,34
4,mRMR,1,4,0.2903225806451613,9,31
4,mRMR,1,5,0.2903225806451613,9,31
4,mRMR,2,3,0.17647058823529413,6,34
4,mRMR,2,4,0.17647058823529413,6,34
4,mRMR,2,5,0.25,8,32
4,mRMR,3,4,0.21212121212121213,7,33
4,mRMR,3,5,0.17647058823529413,6,34
4,mRMR,4,5,0.25,8,32
5,DEG-only,1,2,0.6666666666666666,16,24
5,DEG-only,1,3,0.7391304347826086,17,23
5,DEG-only,1,4,0.8181818181818182,18,22
5,DEG-only,1,5,0.6666666666666666,16,24
5,DEG-only,2,3,0.5384615384615384,14,26
5,DEG-only,2,4,0.6,15,25
5,DEG-only,2,5,0.6666666666666666,16,24
5,DEG-only,3,4,0.8181818181818182,18,22
5,DEG-only,3,5,0.6666666666666666,16,24
5,DEG-only,4,5,0.6666666666666666,16,24
5,LASSO,1,2,0.25,8,32
5,LASSO,1,3,0.21212121212121213,7,33
5,LASSO,1,4,0.25,8,32
5,LASSO,1,5,0.48148148148148145,13,27
5,LASSO,2,3,0.17647058823529413,6,34
5,LASSO,2,4,0.1111111111111111,4,36
5,LASSO,2,5,0.25,8,32
5,LASSO,3,4,0.1111111111111111,4,36
5,LASSO,3,5,0.25,8,32
5,LASSO,4,5,0.25,8,32
5,NIBFS,1,2,0.9047619047619048,19,21
5,NIBFS,1,3,0.8181818181818182,18,22
5,NIBFS,1,4,0.7391304347826086,17,23
5,NIBFS,1,5,0.8181818181818182,18,22
5,NIBFS,2,3,0.9047619047619048,19,21
5,NIBFS,2,4,0.7391304347826086,17,23
5,NIBFS,2,5,0.9047619047619048,19,21
5,NIBFS,3,4,0.7391304347826086,17,23
5,NIBFS,3,5,0.9047619047619048,19,21
5,NIBFS,4,5,0.8181818181818182,18,22
5,mRMR,1,2,0.25,8,32
5,mRMR,1,3,0.17647058823529413,6,34
5,mRMR,1,4,0.25,8,32
5,mRMR,1,5,0.17647058823529413,6,34
5,mRMR,2,3,0.2903225806451613,9,31
5,mRMR,2,4,0.2903225806451613,9,31
5,mRMR,2,5,0.3333333333333333,10,30
5,mRMR,3,4,0.21212121212121213,7,33
5,mRMR,3,5,0.21212121212121213,7,33
5,mRMR,4,5,0.25,8,32
