k,Mean_Jaccard,SD_Jaccard,Genes_in_all_5_folds,LR,LightGBM,RF
10,1.0,0.0,10,0.989160131099738,0.9880330109618264,0.9880192825366664
20,0.9064935064935066,0.0606472752049117,18,0.989499816257204,0.9878833576829884,0.9857465185968624
30,0.9548387096774194,0.031164251067074,28,0.9919810461089849,0.9901567340987788,0.9873602733136744
50,0.9088398139452524,0.0305824816584912,45,0.9894930939597916,0.9906826717098836,0.9887381351450673
