Method,Mean_Jaccard,SD_Jaccard,Nogueira_stability,Genes_selected_in_5_of_5_folds,LR_OOF_ROC_AUC,RF_OOF_ROC_AUC,LightGBM_OOF_ROC_AUC
NIBFS,0.9142857142857144,0.0301169300968417,0.9549476744186046,19,0.9912220887315863,0.9861079542379668,0.986881839140176
DEG-only,0.870995670995671,0.0624937919744366,0.9299186046511628,18,0.9957355153640506,0.9912383240791852,0.9941228041692372
mRMR,0.5948717948717948,0.047124952998599,0.744703488372093,11,0.9935383316556808,0.9926995053630766,0.9922827981080408
LASSO,0.3293288839451242,0.025062985391302,0.4944127906976743,4,0.9933543310495612,0.9921637388923163,0.990312909266054
