Method,Mean_Jaccard,SD_between_repeats,Median_Jaccard,Minimum_repeat_mean,Maximum_repeat_mean,Nogueira_stability
NIBFS,0.8442348955392435,0.0384842276389031,0.844908714473932,0.7887257669866365,0.8883116883116884,0.9189058139534884
DEG-only,0.699153715849368,0.0267073150756216,0.7119631093544136,0.6598407389711738,0.7266139657444006,0.8323052325581395
mRMR,0.2366351643296614,0.0169020509422537,0.2288564692739265,0.2224839202543186,0.2628543499511241,0.3924610465116279
LASSO,0.204131480109605,0.0252575262138425,0.2097636420114612,0.1703117938412056,0.2342295504060209,0.3645953488372091
