Database,Term,Adjusted_p_value,Gene_Count,Associated_Genes,Gene_Ratio,minus_log10_adjusted_p
GO:BP,negative regulation of organelle organization,0.0004379105594117,5,CCNB1;BUB1B;CDC20;PPARG;MAD2L1,0.25,3.358614582464906
GO:BP,cell motility,0.0004487786363384,9,CDK1;EGFR;FN1;EZH2;CAV1;GNAI1;KIT;PPARG;FGF2,0.45,3.347967825417571
GO:BP,positive regulation of miRNA transcription,0.00047795416826,3,EGFR;PPARG;FGF2,0.15,3.32061374653863
GO:BP,viral process,0.0005049583918127,5,CDK1;EGFR;STAT1;TOP2A;CAV1,0.25,3.29674440594191
GO:BP,regulation of cell migration,0.0005049583918127,7,EGFR;FN1;EZH2;CAV1;KIT;PPARG;FGF2,0.35,3.29674440594191
GO:BP,regulation of signaling,0.0005132570581517,12,EGFR;CCNB1;FN1;CDC20;EZH2;STAT1;CAV1;KIT;PPARG;FGF2;MAD2L1;FOXO1,0.6,3.289665069633399
GO:BP,regulation of cell communication,0.00051865932191,12,EGFR;CCNB1;FN1;CDC20;EZH2;STAT1;CAV1;KIT;PPARG;FGF2;MAD2L1;FOXO1,0.6,3.2851178120850064
GO:BP,negative regulation of cell differentiation,0.0005262440046051,6,EGFR;EZH2;STAT1;CAV1;PPARG;FOXO1,0.3,3.2788128389600737
GO:BP,biological process involved in symbiotic interaction,0.0005479199356288,4,CDK1;EGFR;FN1;CAV1,0.2,3.261282897820305
GO:BP,circadian rhythm,0.0005692959993179,4,CDK1;EZH2;TOP2A;PPARG,0.2,3.244661868147457
GO:BP,negative regulation of cellular process,0.0005709315533213,14,CDK1;EGFR;CCNB1;BUB1B;FN1;CDC20;EZH2;STAT1;CAV1;KIT;PPARG;FGF2;MAD2L1;FOXO1,0.7,3.2434159544452728
GO:BP,regulation of protein ubiquitination,0.0005751882816627,4,CDC20;CAV1;UBE2C;MAD2L1,0.2,3.2401899704364814
GO:BP,positive regulation of miRNA metabolic process,0.0005803356559574,3,EGFR;PPARG;FGF2,0.15,3.23632074546194
GO:BP,cellular component organization,0.0005807990394081,16,CDK1;EGFR;CCNB1;BUB1B;FN1;CDC20;EZH2;TOP2A;CAV1;RRM2;GNAI1;KIT;PPARG;UBE2C;CCNB2;MAD2L1,0.8,3.235974110593248
GO:BP,regulation of transferase activity,0.0005819461323327,5,CDC20;EZH2;UBE2C;FGF2;MAD2L1,0.25,3.235117213826656
GO:BP,regulation of protein catabolic process,0.0005939274044733,5,EGFR;CDC20;CAV1;MAD2L1;FOXO1,0.25,3.2262666354284955
GO:BP,muscle cell proliferation,0.0005949368497107,4,CDK1;STAT1;PPARG;FGF2,0.2,3.225529130536422
GO:BP,regulation of multicellular organismal development,0.0005949368497107,8,CDK1;FN1;EZH2;STAT1;CAV1;KIT;PPARG;FGF2,0.4,3.225529130536422
GO:BP,positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,0.000599395248869,4,EGFR;FN1;KIT;FGF2,0.2,3.2222867038297247
GO:BP,microtubule cytoskeleton organization,0.000599395248869,6,CDK1;CCNB1;CDC20;GNAI1;CCNB2;MAD2L1,0.3,3.2222867038297247
GO:BP,organelle organization,0.0006045871114115,12,CDK1;CCNB1;BUB1B;CDC20;TOP2A;CAV1;GNAI1;KIT;PPARG;UBE2C;CCNB2;MAD2L1,0.6,3.218541115349564
GO:BP,animal organ development,0.0006272290663727,11,CDK1;EGFR;FN1;EZH2;STAT1;CAV1;KIT;PPARG;CCNA2;FGF2;CCNB2,0.55,3.202573824250916
GO:BP,regulation of cell motility,0.0006283622451639,7,EGFR;FN1;EZH2;CAV1;KIT;PPARG;FGF2,0.35,3.201789917218256
GO:BP,negative regulation of intracellular signal transduction,0.000634381183797,6,EZH2;STAT1;CAV1;PPARG;FGF2;FOXO1,0.3,3.1976497069866587
GO:BP,regulation of cardiac muscle adaptation,0.000634381183797,2,PPARG;FOXO1,0.1,3.1976497069866587
GO:BP,response to ketone,0.000634381183797,4,CAV1;GNAI1;PPARG;FGF2,0.2,3.1976497069866587
GO:BP,negative regulation of muscle adaptation,0.000634381183797,2,PPARG;FOXO1,0.1,3.1976497069866587
GO:BP,positive regulation of ubiquitin protein ligase activity,0.000634381183797,2,CDC20;UBE2C,0.1,3.1976497069866587
GO:BP,regulation of cardiac muscle hypertrophy in response to stress,0.000634381183797,2,PPARG;FOXO1,0.1,3.1976497069866587
GO:BP,spindle organization,0.0007131121838682,4,CCNB1;CDC20;GNAI1;CCNB2,0.2,3.1468421433564453
GO:BP,epithelial cell differentiation,0.0007262889839656,6,CDK1;EZH2;STAT1;CAV1;PPARG;FGF2,0.3,3.1388905429778218
GO:BP,response to mechanical stimulus,0.0007344609461688,4,STAT1;KIT;PPARG;FGF2,0.2,3.134031292200903
GO:BP,negative regulation of cellular component organization,0.0007439122009519,6,CCNB1;BUB1B;CDC20;CAV1;PPARG;MAD2L1,0.3,3.128478318341396
GO:BP,regulation of locomotion,0.0007446700027532,7,EGFR;FN1;EZH2;CAV1;KIT;PPARG;FGF2,0.35,3.128036140316884
GO:BP,gland development,0.0007608644767901,5,EGFR;EZH2;CAV1;FGF2;CCNB2,0.25,3.118692691749277
GO:BP,muscle system process,0.0007661423810296,5,EZH2;CAV1;KIT;PPARG;FOXO1,0.25,3.1156905129400347
GO:BP,cellular response to growth factor stimulus,0.0007670994602163,6,EGFR;CAV1;KIT;PPARG;CCNA2;FGF2,0.3,3.1151483228532237
GO:BP,regulation of nervous system development,0.0007675944521623,5,FN1;EZH2;KIT;PPARG;FGF2,0.25,3.114868172816182
GO:BP,cellular component organization or biogenesis,0.0007846484783388,16,CDK1;EGFR;CCNB1;BUB1B;FN1;CDC20;EZH2;TOP2A;CAV1;RRM2;GNAI1;KIT;PPARG;UBE2C;CCNB2;MAD2L1,0.8,3.1053248631391392
GO:BP,regulation of signal transduction,0.0007846484783388,11,EGFR;CCNB1;FN1;EZH2;STAT1;CAV1;KIT;PPARG;FGF2;MAD2L1;FOXO1,0.55,3.1053248631391392
GO:BP,negative regulation of macromolecule metabolic process,0.000832807744476,10,CDK1;EGFR;FN1;EZH2;STAT1;CAV1;PPARG;FGF2;MAD2L1;FOXO1,0.5,3.0794552448716965
GO:BP,regulation of miRNA transcription,0.0008419895381872,3,EGFR;PPARG;FGF2,0.15,3.0746933046236227
GO:BP,negative regulation of biological process,0.0008419895381872,14,CDK1;EGFR;CCNB1;BUB1B;FN1;CDC20;EZH2;STAT1;CAV1;KIT;PPARG;FGF2;MAD2L1;FOXO1,0.7,3.0746933046236227
GO:BP,miRNA transcription,0.0008718324765495,3,EGFR;PPARG;FGF2,0.15,3.059566957154145
GO:BP,positive regulation of neurogenesis,0.0008830926927579,4,FN1;KIT;PPARG;FGF2,0.2,3.0539937088340894
GO:BP,regulation of muscle system process,0.0009118693116579,4,CAV1;KIT;PPARG;FOXO1,0.2,3.040067399931237
GO:BP,response to growth factor,0.0009132041695195,6,EGFR;CAV1;KIT;PPARG;CCNA2;FGF2,0.3,3.0394321142698626
GO:BP,regulation of receptor signaling pathway via STAT,0.0009251043187112,3,CAV1;KIT;PPARG,0.15,3.033809291600229
GO:BP,blood vessel development,0.000941752432828,6,FN1;STAT1;CAV1;PPARG;FGF2;FOXO1,0.3,3.026063249210781
GO:BP,positive regulation of cellular component organization,0.0009427411552592,7,CDK1;FN1;CDC20;CAV1;KIT;PPARG;UBE2C,0.35,3.025607533427911
GO:BP,response to alcohol,0.0009427411552592,4,CDK1;GNAI1;PPARG;FGF2,0.2,3.025607533427911
GO:BP,cardiac muscle hypertrophy,0.0009434297610012,3,EZH2;PPARG;FOXO1,0.15,3.025290427820301
GO:BP,positive regulation of intracellular signal transduction,0.000969277747445,7,EGFR;FN1;EZH2;CAV1;KIT;FGF2;MAD2L1,0.35,3.0135517576256063
GO:BP,regulation of protein modification by small protein conjugation or removal,0.0010047601910839,4,CDC20;CAV1;UBE2C;MAD2L1,0.2,2.9979375801505155
GO:BP,tube development,0.0010047601910839,7,EGFR;FN1;STAT1;CAV1;KIT;PPARG;FGF2,0.35,2.9979375801505155
GO:BP,striated muscle hypertrophy,0.0010047601910839,3,EZH2;PPARG;FOXO1,0.15,2.9979375801505155
GO:BP,positive regulation of growth,0.0010312232975192,4,CDK1;EGFR;FN1;FGF2,0.2,2.9866472839112945
GO:BP,response to hydrogen peroxide,0.0010312232975192,3,CDK1;EZH2;STAT1,0.15,2.9866472839112945
GO:BP,muscle hypertrophy,0.0010593970564318,3,EZH2;PPARG;FOXO1,0.15,2.974941238099664
GO:BP,regulation of cellular process,0.0010593970564318,19,CDK1;EGFR;CCNB1;BUB1B;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;RRM2;GNAI1;KIT;PPARG;CCNA2;UBE2C;FGF2;MAD2L1;FOXO1,0.95,2.974941238099664
GO:BP,regulation of post-translational protein modification,0.0010717304841229,4,CDC20;CAV1;UBE2C;MAD2L1,0.2,2.9699144161120525
GO:BP,positive regulation of smooth muscle cell apoptotic process,0.001086444394257,2,PPARG;FOXO1,0.1,2.9639924965733826
GO:BP,positive regulation of gene expression,0.0010978275481447,7,CDK1;FN1;STAT1;CAV1;KIT;PPARG;FGF2,0.35,2.959465875524586
GO:BP,positive regulation of signal transduction,0.0011105924166691,8,EGFR;FN1;EZH2;CAV1;KIT;PPARG;FGF2;MAD2L1,0.4,2.9544452962965515
GO:BP,regulation of miRNA metabolic process,0.0011487748807165,3,EGFR;PPARG;FGF2,0.15,2.939765069346099
GO:BP,response to stress,0.0011959053730237,12,CDK1;EGFR;FN1;EZH2;STAT1;TOP2A;CAV1;KIT;PPARG;CCNA2;FGF2;FOXO1,0.6,2.922303182888948
GO:BP,response to stimulus,0.0012145060936564,17,CDK1;EGFR;CCNB1;BUB1B;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;GNAI1;KIT;PPARG;CCNA2;FGF2;MAD2L1;FOXO1,0.85,2.9156003018265304
GO:BP,meiotic cell cycle phase transition,0.0012200412727018,2,CDC20;CCNB2,0.1,2.9136254773551755
GO:BP,regulation of protein phosphorylation,0.0012899457481896,5,EGFR;FN1;EZH2;KIT;FGF2,0.25,2.889428554628894
GO:BP,regulation of cell development,0.0013469315852742,6,FN1;EZH2;STAT1;KIT;PPARG;FGF2,0.3,2.870654462846018
GO:BP,positive regulation of multicellular organismal process,0.0013559298396394,8,CDK1;FN1;EZH2;STAT1;CAV1;KIT;PPARG;FGF2,0.4,2.8677627817416176
GO:BP,epithelium development,0.0013573517796319,7,CDK1;EGFR;EZH2;STAT1;CAV1;PPARG;FGF2,0.35,2.867307583324696
GO:BP,negative regulation of metabolic process,0.0013579420785091,10,CDK1;EGFR;FN1;EZH2;STAT1;CAV1;PPARG;FGF2;MAD2L1;FOXO1,0.5,2.8671187540027527
GO:BP,positive regulation of mitotic metaphase/anaphase transition,0.0013579420785091,2,CDC20;UBE2C,0.1,2.8671187540027527
GO:BP,regulation of canonical Wnt signaling pathway,0.001396023133328,4,EGFR;CAV1;FGF2;FOXO1,0.2,2.855107385012668
GO:BP,stem cell differentiation,0.001396023133328,4,FN1;EZH2;KIT;FGF2,0.2,2.855107385012668
GO:BP,protein localization to chromosome,0.0014191410314045,3,CDK1;BUB1B;EZH2,0.15,2.847974443078641
GO:BP,negative regulation of cellular response to growth factor stimulus,0.0014191410314045,3,CAV1;PPARG;FGF2,0.15,2.847974443078641
GO:BP,system development,0.0014390149734054,12,CDK1;EGFR;FN1;CDC20;EZH2;STAT1;CAV1;KIT;PPARG;FGF2;CCNB2;FOXO1,0.6,2.8419346870685818
GO:BP,positive regulation of ubiquitin-protein transferase activity,0.0014814390335616,2,CDC20;UBE2C,0.1,2.8293162165650125
GO:BP,positive regulation of metaphase/anaphase transition of cell cycle,0.0014814390335616,2,CDC20;UBE2C,0.1,2.8293162165650125
GO:BP,cellular response to nitric oxide,0.0014814390335616,2,CCNA2;FOXO1,0.1,2.8293162165650125
GO:BP,positive regulation of nervous system development,0.0014814390335616,4,FN1;KIT;PPARG;FGF2,0.2,2.8293162165650125
GO:BP,homeostatic process,0.001493474646204,8,EZH2;STAT1;CAV1;KIT;PPARG;UBE2C;CCNB2;FOXO1,0.4,2.82580214574625
GO:BP,negative regulation of apoptotic process,0.001493474646204,6,CDK1;EGFR;CAV1;FGF2;MAD2L1;FOXO1,0.3,2.82580214574625
GO:BP,locomotion,0.0015417970142989,7,EGFR;FN1;EZH2;CAV1;KIT;PPARG;FGF2,0.35,2.8119727996784976
GO:BP,regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction,0.0015568395229485,4,EGFR;FN1;KIT;FGF2,0.2,2.8077561516514127
GO:BP,positive regulation of protein ubiquitination,0.0015909399989509,3,CDC20;CAV1;UBE2C,0.15,2.7983461991189005
GO:BP,cellular response to reactive nitrogen species,0.0016192012080046,2,CCNA2;FOXO1,0.1,2.7906991808348747
GO:BP,multicellular organismal-level homeostasis,0.0016192012080046,6,EZH2;STAT1;CAV1;KIT;CCNB2;FOXO1,0.3,2.7906991808348747
GO:BP,muscle adaptation,0.0016688818053264,3,EZH2;PPARG;FOXO1,0.15,2.777574420128524
GO:BP,rhythmic process,0.0016690558282109,4,CDK1;EZH2;TOP2A;PPARG,0.2,2.777529136371409
GO:BP,miRNA metabolic process,0.0017052232793507,3,EGFR;PPARG;FGF2,0.15,2.768218747087208
GO:BP,ERK1 and ERK2 cascade,0.0017303799507187,4,CDK1;EGFR;FN1;FGF2,0.2,2.7618585255515504
GO:BP,response to chemical,0.0017426863193534,11,CDK1;EGFR;EZH2;STAT1;CAV1;GNAI1;KIT;PPARG;CCNA2;FGF2;FOXO1,0.55,2.758780778141705
GO:BP,positive regulation of cell differentiation,0.0017426863193534,6,FN1;EZH2;STAT1;KIT;PPARG;FGF2,0.3,2.758780778141705
GO:BP,response to lipid,0.0017903300804437,6,EGFR;CAV1;GNAI1;PPARG;CCNA2;FOXO1,0.3,2.74706689142252
GO:BP,positive regulation of DNA metabolic process,0.0018240217611356,4,CDK1;EGFR;CCNA2;FGF2,0.2,2.7389699847111317
GO:BP,viral life cycle,0.0018240217611356,4,CDK1;EGFR;TOP2A;CAV1,0.2,2.7389699847111317
GO:BP,positive regulation of protein phosphorylation,0.0018396210255194,4,EGFR;EZH2;KIT;FGF2,0.2,2.735271635402156
GO:BP,cytokine-mediated signaling pathway,0.0018396210255194,5,EGFR;STAT1;CAV1;KIT;PPARG,0.25,2.735271635402156
GO:BP,regulation of phosphorylation,0.0018835936296867,5,EGFR;FN1;EZH2;KIT;FGF2,0.25,2.725012787010665
GO:BP,positive regulation of mitotic sister chromatid separation,0.00190948229175,2,CDC20;UBE2C,0.1,2.7190843648533174
GO:BP,angiogenesis,0.001956079588939,5,FN1;STAT1;CAV1;PPARG;FGF2,0.25,2.708613478621087
GO:BP,positive regulation of cell communication,0.0020563819400519,8,EGFR;FN1;EZH2;CAV1;KIT;PPARG;FGF2;MAD2L1,0.4,2.68689621893175
GO:BP,tube morphogenesis,0.0020569547940974,6,EGFR;FN1;STAT1;CAV1;PPARG;FGF2,0.3,2.686775252733937
GO:BP,negative regulation of receptor signaling pathway via STAT,0.0020623241209149,2,CAV1;PPARG,0.1,2.6856430786922583
GO:BP,positive regulation of signaling,0.0020623241209149,8,EGFR;FN1;EZH2;CAV1;KIT;PPARG;FGF2;MAD2L1,0.4,2.6856430786922583
GO:BP,programmed cell death involved in cell development,0.0020623241209149,2,KIT;FGF2,0.1,2.6856430786922583
GO:BP,response to wounding,0.0021044799884244,5,CDK1;FN1;CAV1;PPARG;FGF2,0.25,2.6768551996181054
GO:BP,cell surface receptor signaling pathway via JAK-STAT,0.0021044799884244,3,STAT1;CAV1;KIT,0.15,2.6768551996181054
GO:BP,regulation of small molecule metabolic process,0.0021389705085193,4,CAV1;GNAI1;PPARG;FOXO1,0.2,2.669795203308614
GO:BP,regulation of DNA replication,0.0022019737538175,3,CDK1;EGFR;CCNA2,0.15,2.657187861858436
GO:BP,regulation of attachment of spindle microtubules to kinetochore,0.0022099025547,2,CDK1;CCNB1,0.1,2.6556268760384607
GO:BP,response to nitric oxide,0.0022099025547,2,CCNA2;FOXO1,0.1,2.6556268760384607
GO:BP,positive regulation of cardiac muscle cell proliferation,0.0022099025547,2,CDK1;FGF2,0.1,2.6556268760384607
GO:BP,meiosis I cell cycle process,0.0022274222532392,3,CDC20;TOP2A;CCNB2,0.15,2.652197445799926
GO:BP,phosphatidylinositol 3-kinase/protein kinase B signal transduction,0.0022375288226274,4,EGFR;FN1;KIT;FGF2,0.2,2.6502313616310835
GO:BP,fibroblast growth factor receptor signaling pathway,0.0022691348698761,3,EGFR;KIT;FGF2,0.15,2.6441396903194407
GO:BP,regulation of biosynthetic process,0.0023032544979889,13,CDK1;EGFR;FN1;EZH2;STAT1;TOP2A;CAV1;GNAI1;KIT;PPARG;CCNA2;FGF2;FOXO1,0.65,2.637658072037643
GO:BP,regulation of multicellular organismal process,0.0023032544979889,10,CDK1;EGFR;FN1;EZH2;STAT1;CAV1;KIT;PPARG;FGF2;FOXO1,0.5,2.637658072037643
GO:BP,regulation of mitotic cell cycle spindle assembly checkpoint,0.0023592862516121,2,CCNB1;MAD2L1,0.1,2.6272193630764287
GO:BP,regulation of mitotic spindle checkpoint,0.0023592862516121,2,CCNB1;MAD2L1,0.1,2.6272193630764287
GO:BP,positive regulation of phosphorylation,0.0023693493744206,4,EGFR;EZH2;KIT;FGF2,0.2,2.625370895294281
GO:BP,canonical Wnt signaling pathway,0.0023917699789416,4,EGFR;CAV1;FGF2;FOXO1,0.2,2.62128058959995
GO:BP,negative regulation of signal transduction,0.0024466005154481,7,EGFR;EZH2;STAT1;CAV1;PPARG;FGF2;FOXO1,0.35,2.6114369371050463
GO:BP,response to oxygen levels,0.0024847980115923,4,CAV1;PPARG;CCNA2;FOXO1,0.2,2.6047089091504634
GO:BP,regulation of spindle checkpoint,0.0024847980115923,2,CCNB1;MAD2L1,0.1,2.6047089091504634
GO:BP,anaphase-promoting complex-dependent catabolic process,0.0024847980115923,2,CDC20;UBE2C,0.1,2.6047089091504634
GO:BP,post-translational protein modification,0.0024847980115923,6,CDK1;CDC20;CAV1;CCNA2;UBE2C;MAD2L1,0.3,2.6047089091504634
GO:BP,positive regulation of protein modification by small protein conjugation or removal,0.0024847980115923,3,CDC20;CAV1;UBE2C,0.15,2.6047089091504634
GO:BP,cellular developmental process,0.0024847980115923,12,CDK1;EGFR;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;KIT;PPARG;FGF2;FOXO1,0.6,2.6047089091504634
GO:BP,cell differentiation,0.0024847980115923,12,CDK1;EGFR;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;KIT;PPARG;FGF2;FOXO1,0.6,2.6047089091504634
GO:BP,positive regulation of post-translational protein modification,0.0024930040308979,3,CDC20;CAV1;UBE2C,0.15,2.6032770192919275
GO:BP,regulation of smooth muscle cell proliferation,0.0024930040308979,3,STAT1;PPARG;FGF2,0.15,2.6032770192919275
GO:BP,protein metabolic process,0.0025349578041812,12,CDK1;EGFR;FN1;CDC20;EZH2;CAV1;KIT;CCNA2;UBE2C;FGF2;MAD2L1;FOXO1,0.6,2.596029265349877
GO:BP,heart development,0.0025425757891792,5,CDK1;EGFR;FN1;PPARG;FGF2,0.25,2.594726092748677
GO:BP,smooth muscle cell proliferation,0.0025897333007049,3,STAT1;PPARG;FGF2,0.15,2.5867449586971327
GO:BP,positive regulation of muscle cell apoptotic process,0.0026105048378167,2,PPARG;FOXO1,0.1,2.583275497613124
GO:BP,symbiont entry into host cell,0.0026105048378167,3,CDK1;EGFR;CAV1,0.15,2.583275497613124
GO:BP,regulation of vascular endothelial cell proliferation,0.0026105048378167,2,PPARG;FGF2,0.1,2.583275497613124
GO:BP,multicellular organismal process,0.0026105048378167,15,CDK1;EGFR;CCNB1;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;RRM2;KIT;PPARG;FGF2;CCNB2;FOXO1,0.75,2.583275497613124
GO:BP,type II interferon-mediated signaling pathway,0.0026105048378167,2,STAT1;PPARG,0.1,2.583275497613124
GO:BP,protein phosphorylation,0.002674689777042,6,CDK1;EGFR;FN1;EZH2;KIT;FGF2,0.3,2.5727265822153487
GO:BP,mitotic spindle organization,0.0027160018398841,3,CCNB1;CDC20;GNAI1,0.15,2.566069940190043
GO:BP,microtubule-based process,0.0027538557389549,6,CDK1;CCNB1;CDC20;GNAI1;CCNB2;MAD2L1,0.3,2.560058814048878
GO:BP,vascular endothelial cell proliferation,0.0027538557389549,2,PPARG;FGF2,0.1,2.560058814048878
GO:BP,positive regulation of cardiac muscle tissue growth,0.0027538557389549,2,CDK1;FGF2,0.1,2.560058814048878
GO:BP,gliogenesis,0.0027538557389549,4,CDK1;EZH2;PPARG;FGF2,0.2,2.560058814048878
GO:BP,positive regulation of cholesterol efflux,0.0027538557389549,2,CAV1;PPARG,0.1,2.560058814048878
GO:BP,response to prostaglandin E,0.0027538557389549,2,GNAI1;PPARG,0.1,2.560058814048878
GO:BP,regulation of Wnt signaling pathway,0.0027701648026331,4,EGFR;CAV1;FGF2;FOXO1,0.2,2.5574943931214187
GO:BP,negative regulation of epithelial cell proliferation,0.0027720433686978,3,STAT1;CAV1;PPARG,0.15,2.55719997945748
GO:BP,symbiont entry into host,0.002818062059408,3,CDK1;EGFR;CAV1,0.15,2.550049447081282
GO:BP,positive regulation of small molecule metabolic process,0.002818062059408,3,GNAI1;PPARG;FOXO1,0.15,2.550049447081282
GO:BP,homeostasis of number of cells,0.0028355469336654,4,EZH2;STAT1;KIT;CCNB2,0.2,2.5473631599233157
GO:BP,macromolecule catabolic process,0.0028655863726993,7,EGFR;CDC20;CAV1;UBE2C;FGF2;MAD2L1;FOXO1,0.35,2.542786496778252
GO:BP,cellular response to stress,0.0028711994196603,8,CDK1;EGFR;EZH2;TOP2A;CAV1;PPARG;CCNA2;FOXO1,0.4,2.541936642456343
GO:BP,negative regulation of cardiac muscle hypertrophy,0.0028711994196603,2,PPARG;FOXO1,0.1,2.541936642456343
GO:BP,enzyme-linked receptor protein signaling pathway,0.0028711994196603,6,EGFR;CAV1;KIT;PPARG;FGF2;FOXO1,0.3,2.541936642456343
GO:BP,regulation of smooth muscle cell apoptotic process,0.0028711994196603,2,PPARG;FOXO1,0.1,2.541936642456343
GO:BP,positive regulation of G2/M transition of mitotic cell cycle,0.0028711994196603,2,CDK1;CCNB1,0.1,2.541936642456343
GO:BP,G2/M transition of mitotic cell cycle,0.0030056626815421,3,CDK1;CCNB1;CCNA2,0.15,2.5220597608632165
GO:BP,smooth muscle cell apoptotic process,0.0030709627817877,2,PPARG;FOXO1,0.1,2.512725446911586
GO:BP,blood vessel morphogenesis,0.0031933047352959,5,FN1;STAT1;CAV1;PPARG;FGF2,0.25,2.495759635001901
GO:BP,positive regulation of chromosome segregation,0.0032661009522271,2,CDK1;CCNB1,0.1,2.4859703957421573
GO:BP,negative regulation of muscle hypertrophy,0.0032661009522271,2,PPARG;FOXO1,0.1,2.4859703957421573
GO:BP,protein catabolic process,0.0034140712872413,6,EGFR;CDC20;CAV1;UBE2C;MAD2L1;FOXO1,0.3,2.466727414875555
GO:BP,negative regulation of cell communication,0.0034140712872413,7,EGFR;EZH2;STAT1;CAV1;PPARG;FGF2;FOXO1,0.35,2.466727414875555
GO:BP,cellular response to fibroblast growth factor stimulus,0.0034179931514321,3,EGFR;KIT;FGF2,0.15,2.4662288118019955
GO:BP,negative regulation of signaling,0.0034241168498356,7,EGFR;EZH2;STAT1;CAV1;PPARG;FGF2;FOXO1,0.35,2.465451423208395
GO:BP,positive regulation of heart growth,0.0034241168498356,2,CDK1;FGF2,0.1,2.465451423208395
GO:BP,negative regulation of fibroblast proliferation,0.0034241168498356,2,CAV1;PPARG,0.1,2.465451423208395
GO:BP,positive regulation of cell cycle G2/M phase transition,0.0034241168498356,2,CDK1;CCNB1,0.1,2.465451423208395
GO:BP,negative regulation of MAPK cascade,0.0035095637219957,3,CAV1;PPARG;FOXO1,0.15,2.45474686783792
GO:BP,tissue development,0.0035522778685092,8,CDK1;EGFR;FN1;EZH2;STAT1;CAV1;PPARG;FGF2,0.4,2.449493069909111
GO:BP,positive regulation of developmental growth,0.0035609955783303,3,CDK1;FN1;FGF2,0.15,2.448428565586604
GO:BP,positive regulation of chromosome separation,0.0035935573975379,2,CDC20;UBE2C,0.1,2.444475414050605
GO:BP,"protein localization to chromosome, centromeric region",0.0035935573975379,2,CDK1;BUB1B,0.1,2.444475414050605
GO:BP,cellular response to estradiol stimulus,0.0035935573975379,2,EGFR;CCNA2,0.1,2.444475414050605
GO:BP,positive regulation of phosphate metabolic process,0.003646689402216,4,EGFR;EZH2;KIT;FGF2,0.2,2.4381012250733884
GO:BP,positive regulation of phosphorus metabolic process,0.003646689402216,4,EGFR;EZH2;KIT;FGF2,0.2,2.4381012250733884
GO:BP,regulation of molecular function,0.0037127386392261,6,CDC20;EZH2;CAV1;UBE2C;FGF2;MAD2L1,0.3,2.4303056221546595
GO:BP,regulation of G1/S transition of mitotic cell cycle,0.0037644308759062,3,EGFR;EZH2;RRM2,0.15,2.424300673151587
GO:BP,response to fibroblast growth factor,0.0037644308759062,3,EGFR;KIT;FGF2,0.15,2.424300673151587
GO:BP,retinoic acid receptor signaling pathway,0.0037644308759062,2,EZH2;PPARG,0.1,2.424300673151587
GO:BP,regulation of transcription by RNA polymerase II,0.0038345603469196,9,CDK1;EGFR;EZH2;STAT1;TOP2A;CAV1;PPARG;FGF2;FOXO1,0.45,2.41628442307156
GO:BP,phosphorylation,0.0038954156109495,6,CDK1;EGFR;FN1;EZH2;KIT;FGF2,0.3,2.409446199631255
GO:BP,response to oxidative stress,0.0038954156109495,4,CDK1;EZH2;STAT1;FOXO1,0.2,2.409446199631255
GO:BP,regulation of DNA-templated transcription,0.0039145332595057,10,CDK1;EGFR;EZH2;STAT1;TOP2A;CAV1;PPARG;CCNA2;FGF2;FOXO1,0.5,2.407320012636704
GO:BP,regulation of cardiac muscle cell proliferation,0.0039145332595057,2,CDK1;FGF2,0.1,2.407320012636704
GO:BP,regulation of phosphorus metabolic process,0.0039145332595057,5,EGFR;FN1;EZH2;KIT;FGF2,0.25,2.407320012636704
GO:BP,embryo development ending in birth or egg hatching,0.0039145332595057,5,EGFR;CCNB1;RRM2;FGF2;CCNB2,0.25,2.407320012636704
GO:BP,regeneration,0.0039145332595057,3,EZH2;PPARG;CCNA2,0.15,2.407320012636704
GO:BP,cytoskeleton organization,0.003961608532623,7,CDK1;CCNB1;CDC20;GNAI1;KIT;CCNB2;MAD2L1,0.35,2.402128441599411
GO:BP,cellular component assembly,0.003961608532623,10,CDK1;FN1;CDC20;EZH2;CAV1;RRM2;KIT;PPARG;UBE2C;CCNB2,0.5,2.402128441599411
GO:BP,regulation of RNA biosynthetic process,0.003961608532623,10,CDK1;EGFR;EZH2;STAT1;TOP2A;CAV1;PPARG;CCNA2;FGF2;FOXO1,0.5,2.402128441599411
GO:BP,response to prostaglandin,0.0040874225383852,2,GNAI1;PPARG,0.1,2.388550464660856
GO:BP,positive regulation of cholesterol transport,0.0040874225383852,2,CAV1;PPARG,0.1,2.388550464660856
GO:BP,positive regulation of sterol transport,0.0040874225383852,2,CAV1;PPARG,0.1,2.388550464660856
GO:BP,glandular epithelial cell differentiation,0.004296536850782,2,CAV1;FGF2,0.1,2.3668814589738774
GO:BP,negative regulation of blood vessel endothelial cell migration,0.004296536850782,2,PPARG;FGF2,0.1,2.3668814589738774
GO:BP,female meiotic nuclear division,0.004296536850782,2,TOP2A;CCNB2,0.1,2.3668814589738774
GO:BP,negative regulation of multicellular organismal process,0.0043579942522817,6,EGFR;FN1;EZH2;STAT1;PPARG;FOXO1,0.3,2.360713346876357
