Database,Term,Adjusted_p_value,Gene_Count,Associated_Genes,Gene_Ratio,minus_log10_adjusted_p
GO:BP,mitotic sister chromatid separation,5.473694509308955e-07,5,CCNB1;BUB1B;CDC20;UBE2C;MAD2L1,0.25,6.261719444526116
GO:BP,regulation of cell population proliferation,6.183175264288746e-07,12,CDK1;EGFR;CCNB1;FN1;EZH2;STAT1;CAV1;KIT;PPARG;CCNA2;FGF2;FOXO1,0.6,6.208788443096031
GO:BP,response to peptide hormone,6.183175264288746e-07,8,EGFR;STAT1;CAV1;GNAI1;KIT;PPARG;CCNA2;FOXO1,0.4,6.208788443096031
GO:BP,regulation of chromosome separation,1.1295684885955872e-06,5,CCNB1;BUB1B;CDC20;UBE2C;MAD2L1,0.25,5.947087431571963
GO:BP,MAPK cascade,1.3134052802429723e-06,9,CDK1;EGFR;FN1;EZH2;CAV1;KIT;PPARG;FGF2;FOXO1,0.45,5.881601242064127
GO:BP,regulation of protein modification process,1.3810830846291285e-06,9,EGFR;FN1;CDC20;EZH2;CAV1;KIT;UBE2C;FGF2;MAD2L1,0.45,5.859780193897419
GO:BP,cellular response to hyperoxia,1.3992279525441438e-06,3,CAV1;PPARG;FOXO1,0.15,5.854111527489915
GO:BP,negative regulation of mitotic cell cycle phase transition,1.4223323153623123e-06,6,CDK1;CCNB1;BUB1B;CDC20;EZH2;MAD2L1,0.3,5.846998922687177
GO:BP,chromosome separation,1.5651911771784848e-06,5,CCNB1;BUB1B;CDC20;UBE2C;MAD2L1,0.25,5.805432608837737
GO:BP,positive regulation of cellular process,1.6584482091786375e-06,18,CDK1;EGFR;CCNB1;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;RRM2;GNAI1;KIT;PPARG;CCNA2;UBE2C;FGF2;MAD2L1;FOXO1,0.9,5.780298086290492
GO:BP,cellular response to peptide hormone stimulus,2.151876723198816e-06,7,EGFR;STAT1;CAV1;KIT;PPARG;CCNA2;FOXO1,0.35,5.667182612172947
GO:BP,mitotic sister chromatid segregation,2.1518962536399727e-06,6,CDK1;CCNB1;BUB1B;CDC20;UBE2C;MAD2L1,0.3,5.667178670532499
GO:BP,regulation of mitotic metaphase/anaphase transition,2.557095677362232e-06,5,CCNB1;BUB1B;CDC20;UBE2C;MAD2L1,0.25,5.592253021925528
GO:BP,regulation of metaphase/anaphase transition of cell cycle,2.7894322775705635e-06,5,CCNB1;BUB1B;CDC20;UBE2C;MAD2L1,0.25,5.554484178019316
GO:BP,metaphase/anaphase transition of mitotic cell cycle,3.037065021935414e-06,5,CCNB1;BUB1B;CDC20;UBE2C;MAD2L1,0.25,5.517545909969959
GO:BP,metaphase/anaphase transition of cell cycle,3.3006308645478587e-06,5,CCNB1;BUB1B;CDC20;UBE2C;MAD2L1,0.25,5.481403043514027
GO:BP,cell population proliferation,3.476178477292605e-06,12,CDK1;EGFR;CCNB1;FN1;EZH2;STAT1;CAV1;KIT;PPARG;CCNA2;FGF2;FOXO1,0.6,5.458897933686705
GO:BP,cellular response to oxygen-containing compound,3.6213555761153057e-06,10,CDK1;EGFR;EZH2;STAT1;CAV1;GNAI1;KIT;PPARG;CCNA2;FOXO1,0.5,5.441128830288444
GO:BP,positive regulation of biological process,4.305424965679679e-06,18,CDK1;EGFR;CCNB1;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;RRM2;GNAI1;KIT;PPARG;CCNA2;UBE2C;FGF2;MAD2L1;FOXO1,0.9,5.365983975188049
GO:BP,response to hormone,4.495370826651404e-06,9,EGFR;EZH2;STAT1;CAV1;GNAI1;KIT;PPARG;CCNA2;FOXO1,0.45,5.347234477161948
GO:BP,negative regulation of mitotic cell cycle,4.646124064899723e-06,6,CDK1;CCNB1;BUB1B;CDC20;EZH2;MAD2L1,0.3,5.3329091974669165
GO:BP,positive regulation of cell population proliferation,4.67490072612381e-06,9,CDK1;EGFR;CCNB1;FN1;EZH2;STAT1;KIT;CCNA2;FGF2,0.45,5.330227607156041
GO:BP,regulation of MAPK cascade,4.67490072612381e-06,8,EGFR;FN1;EZH2;CAV1;KIT;PPARG;FGF2;FOXO1,0.4,5.330227607156041
GO:BP,response to oxygen-containing compound,5.009706041124888e-06,11,CDK1;EGFR;EZH2;STAT1;CAV1;GNAI1;KIT;PPARG;CCNA2;FGF2;FOXO1,0.55,5.300187756859868
GO:BP,positive regulation of macromolecule metabolic process,5.43353168797527e-06,14,CDK1;EGFR;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;KIT;PPARG;CCNA2;UBE2C;FGF2;FOXO1,0.7,5.264917795821093
GO:BP,regulation of mitotic nuclear division,5.604515458660001e-06,5,CCNB1;BUB1B;CDC20;UBE2C;MAD2L1,0.25,5.251461928604517
GO:BP,regulation of chromosome organization,6.278119221299264e-06,6,CDK1;CCNB1;BUB1B;CDC20;UBE2C;MAD2L1,0.3,5.202170441318237
GO:BP,cellular response to hormone stimulus,6.278119221299264e-06,8,EGFR;EZH2;STAT1;CAV1;KIT;PPARG;CCNA2;FOXO1,0.4,5.202170441318237
GO:BP,positive regulation of protein modification process,6.6187864836984585e-06,7,EGFR;CDC20;EZH2;CAV1;KIT;UBE2C;FGF2,0.35,5.179221628648496
GO:BP,cellular response to nitrogen compound,6.640900438697463e-06,8,EGFR;EZH2;STAT1;CAV1;KIT;PPARG;CCNA2;FOXO1,0.4,5.177773030715594
GO:BP,cellular response to increased oxygen levels,7.188231656912751e-06,3,CAV1;PPARG;FOXO1,0.15,5.143377935222254
GO:BP,spindle assembly checkpoint signaling,7.520301282914098e-06,4,CCNB1;BUB1B;CDC20;MAD2L1,0.2,5.123764760088405
GO:BP,mitotic spindle assembly checkpoint signaling,7.520301282914098e-06,4,CCNB1;BUB1B;CDC20;MAD2L1,0.2,5.123764760088405
GO:BP,mitotic spindle checkpoint signaling,7.520301282914098e-06,4,CCNB1;BUB1B;CDC20;MAD2L1,0.2,5.123764760088405
GO:BP,negative regulation of cell cycle phase transition,7.520301282914098e-06,6,CDK1;CCNB1;BUB1B;CDC20;EZH2;MAD2L1,0.3,5.123764760088405
GO:BP,positive regulation of fibroblast proliferation,7.520301282914098e-06,4,EGFR;CCNB1;FN1;CCNA2,0.2,5.123764760088405
GO:BP,spindle checkpoint signaling,8.065815075319434e-06,4,CCNB1;BUB1B;CDC20;MAD2L1,0.2,5.093351739269757
GO:BP,negative regulation of mitotic sister chromatid separation,8.287149089360246e-06,4,CCNB1;BUB1B;CDC20;MAD2L1,0.2,5.0815948479423465
GO:BP,negative regulation of sister chromatid segregation,8.287149089360246e-06,4,CCNB1;BUB1B;CDC20;MAD2L1,0.2,5.0815948479423465
GO:BP,negative regulation of mitotic sister chromatid segregation,8.287149089360246e-06,4,CCNB1;BUB1B;CDC20;MAD2L1,0.2,5.0815948479423465
GO:BP,negative regulation of mitotic metaphase/anaphase transition,8.287149089360246e-06,4,CCNB1;BUB1B;CDC20;MAD2L1,0.2,5.0815948479423465
GO:BP,negative regulation of chromosome separation,8.635686299073714e-06,4,CCNB1;BUB1B;CDC20;MAD2L1,0.2,5.063703142282194
GO:BP,negative regulation of metaphase/anaphase transition of cell cycle,8.635686299073714e-06,4,CCNB1;BUB1B;CDC20;MAD2L1,0.2,5.063703142282194
GO:BP,negative regulation of chromosome segregation,8.635686299073714e-06,4,CCNB1;BUB1B;CDC20;MAD2L1,0.2,5.063703142282194
GO:BP,regulation of nuclear division,9.446183762116203e-06,5,CCNB1;BUB1B;CDC20;UBE2C;MAD2L1,0.25,5.024743610093558
GO:BP,mitotic cell cycle checkpoint signaling,9.446183762116203e-06,5,CDK1;CCNB1;BUB1B;CDC20;MAD2L1,0.25,5.024743610093558
GO:BP,mitotic nuclear division,1.0469436398498697e-05,6,CDK1;CCNB1;BUB1B;CDC20;UBE2C;MAD2L1,0.3,4.980076697080491
GO:BP,negative regulation of mitotic nuclear division,1.3865234850524465e-05,4,CCNB1;BUB1B;CDC20;MAD2L1,0.2,4.858072769907032
GO:BP,negative regulation of cell cycle process,1.4097069351262149e-05,6,CDK1;CCNB1;BUB1B;CDC20;EZH2;MAD2L1,0.3,4.850871163717954
GO:BP,protein modification process,1.4097069351262149e-05,12,CDK1;EGFR;FN1;CDC20;EZH2;CAV1;KIT;CCNA2;UBE2C;FGF2;MAD2L1;FOXO1,0.6,4.850871163717954
GO:BP,regulation of programmed cell death,1.4186275473876531e-05,10,CDK1;EGFR;STAT1;TOP2A;CAV1;KIT;PPARG;FGF2;MAD2L1;FOXO1,0.5,4.848131611129043
GO:BP,response to endogenous stimulus,1.63577762085465e-05,10,EGFR;EZH2;STAT1;CAV1;GNAI1;KIT;PPARG;CCNA2;FGF2;FOXO1,0.5,4.786275737706363
GO:BP,intracellular signaling cassette,1.6924135787701137e-05,11,CDK1;EGFR;FN1;EZH2;STAT1;CAV1;KIT;PPARG;CCNA2;FGF2;FOXO1,0.55,4.771493498844599
GO:BP,negative regulation of nuclear division,1.8056952178087185e-05,4,CCNB1;BUB1B;CDC20;MAD2L1,0.2,4.74335555213666
GO:BP,regulation of primary metabolic process,1.931185847979138e-05,16,CDK1;EGFR;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;GNAI1;KIT;PPARG;CCNA2;UBE2C;FGF2;MAD2L1;FOXO1,0.8,4.714175929810462
GO:BP,microtubule cytoskeleton organization involved in mitosis,1.972058985419078e-05,5,CDK1;CCNB1;CDC20;GNAI1;MAD2L1,0.25,4.705080099202665
GO:BP,programmed cell death,2.015132823847278e-05,11,CDK1;EGFR;BUB1B;STAT1;TOP2A;CAV1;KIT;PPARG;FGF2;MAD2L1;FOXO1,0.55,4.695696322841578
GO:BP,cell death,2.0390590292571357e-05,11,CDK1;EGFR;BUB1B;STAT1;TOP2A;CAV1;KIT;PPARG;FGF2;MAD2L1;FOXO1,0.55,4.69057020153448
GO:BP,regulation of ubiquitin protein ligase activity,2.051723173666245e-05,3,CDC20;UBE2C;MAD2L1,0.15,4.687881236279218
GO:BP,embryo development,2.088542213649315e-05,9,CDK1;EGFR;CCNB1;FN1;TOP2A;RRM2;KIT;FGF2;CCNB2,0.45,4.680156742342991
GO:BP,regulation of intracellular signal transduction,2.3001721500541372e-05,11,EGFR;CCNB1;FN1;EZH2;STAT1;CAV1;KIT;PPARG;FGF2;MAD2L1;FOXO1,0.55,4.638239659190774
GO:BP,chromosome organization,2.3001721500541372e-05,7,CDK1;CCNB1;BUB1B;CDC20;TOP2A;UBE2C;MAD2L1,0.35,4.638239659190774
GO:BP,regulation of cellular component organization,2.33996242729612e-05,12,CDK1;EGFR;CCNB1;BUB1B;FN1;CDC20;CAV1;GNAI1;KIT;PPARG;UBE2C;MAD2L1,0.6,4.630791115986853
GO:BP,regulation of cell differentiation,2.439998531962811e-05,10,CDK1;EGFR;FN1;EZH2;STAT1;CAV1;KIT;PPARG;FGF2;FOXO1,0.5,4.612610434956616
GO:BP,regulation of protein metabolic process,2.5327644829629945e-05,10,EGFR;FN1;CDC20;EZH2;CAV1;KIT;UBE2C;FGF2;MAD2L1;FOXO1,0.5,4.59640519256437
GO:BP,circulatory system development,2.5327644829629945e-05,9,CDK1;EGFR;FN1;STAT1;CAV1;KIT;PPARG;FGF2;FOXO1,0.45,4.59640519256437
GO:BP,positive regulation of protein metabolic process,2.5327644829629945e-05,8,EGFR;CDC20;EZH2;CAV1;KIT;UBE2C;FGF2;FOXO1,0.4,4.59640519256437
GO:BP,macromolecule modification,2.6331836686897505e-05,12,CDK1;EGFR;FN1;CDC20;EZH2;CAV1;KIT;CCNA2;UBE2C;FGF2;MAD2L1;FOXO1,0.6,4.57951884711631
GO:BP,response to hyperoxia,2.6331836686897505e-05,3,CAV1;PPARG;FOXO1,0.15,4.57951884711631
GO:BP,regulation of metabolic process,2.7815885145338007e-05,17,CDK1;EGFR;CCNB1;FN1;CDC20;EZH2;STAT1;TOP2A;CAV1;GNAI1;KIT;PPARG;CCNA2;UBE2C;FGF2;MAD2L1;FOXO1,0.85,4.555707115567857
GO:BP,cell cycle checkpoint signaling,3.301323409431199e-05,5,CDK1;CCNB1;BUB1B;CDC20;MAD2L1,0.25,4.481311928547178
GO:BP,cellular response to endogenous stimulus,3.5449349813781016e-05,9,EGFR;EZH2;STAT1;CAV1;KIT;PPARG;CCNA2;FGF2;FOXO1,0.45,4.4503917259217225
