Method,Mean_Jaccard,LR_OOF_ROC_AUC_mean,Display
NIBFS,0.9056277056277058,0.98982,NIBFS
DEG-only,0.8519442875964616,0.9942522498944704,DEG-only
mRMR,0.6308595269464835,0.9935714476518276,mRMR-inspired
Stability-selection,0.3355810527596826,0.993522096308082,Stability selection
LASSO,0.3299674328279314,0.9896749642281176,LASSO
