Repeat,Method,Mean_Jaccard,SD_pairwise_Jaccard
1,DEG-only,0.7119631093544136,0.0689879530250437
1,LASSO,0.1878700128700128,0.0776564026044147
1,NIBFS,0.8883116883116884,0.0566201110213565
1,mRMR,0.2224839202543186,0.0642612817628712
2,DEG-only,0.7266139657444006,0.0694708029222407
2,LASSO,0.2097636420114612,0.1064794979475453
2,NIBFS,0.7887257669866365,0.0776523300589618
2,mRMR,0.2288564692739265,0.0500098604732164
3,DEG-only,0.7126218708827403,0.0779513765675908
3,LASSO,0.2184824014193248,0.0937482836779975
3,NIBFS,0.844908714473932,0.0568529261751524
3,mRMR,0.2628543499511241,0.0380634528558327
4,DEG-only,0.6598407389711738,0.1157005301209567
4,LASSO,0.1703117938412056,0.074809824364555
4,NIBFS,0.8701298701298702,0.0447097644583828
4,mRMR,0.2248648726352711,0.0471347652922276
5,DEG-only,0.6847288942941118,0.08742186266144
5,LASSO,0.2342295504060209,0.1035579437073806
5,NIBFS,0.82909843779409,0.0726789617910752
5,mRMR,0.2441162095336668,0.0511347125986927
