Feature_selection_method,Accuracy_mean,Balanced_accuracy_mean,Sensitivity_mean,Specificity_mean,F1_mean,MCC_mean,Brier_score_mean,ROC_AUC_mean
NIBFS,0.965492480693673,0.9655093858210316,0.967741935483871,0.963276836158192,0.9661646373448924,0.932219617188356,0.028693041354631,0.989499816257204
DEG-only,0.9736892020051484,0.9737898370813876,0.9676361713379166,0.9799435028248588,0.974029781840464,0.9477826244793708,0.0226190998171337,0.9943558097081926
mRMR,0.97367565370546,0.9738436005222478,0.9644103648863036,0.9832768361581922,0.97384784822408,0.9477129089677052,0.0206394244673735,0.9941380819642256
LASSO,0.967131824955968,0.9673391503613608,0.958011634056055,0.9766666666666666,0.9673863690442984,0.93507825686265,0.0296964370434422,0.9859933464194056
